steps,episode_reward
676,-13452.16015625
1348,-57874.0
2020,-89426.625
2692,-51875.484375
3364,-2956.228515625
4036,-124280.765625
4708,-78530.6953125
5380,-113656.8515625
6052,-51618.53125
6724,-27998.1171875
7396,-3889.255859375
8068,-75747.2109375
8740,-39900.11328125
9412,-79725.328125
10084,-94974.390625
10756,-5766.00830078125
11428,-128729.859375
12100,-23367.271484375
12772,-2179.835693359375
13444,-123660.328125
14116,-35763.73046875
14788,-30207.80078125
15460,-73135.7421875
16132,-77282.046875
16804,-36323.53125
17476,-38065.3828125
18148,-84237.6171875
18820,-16916.431640625
19492,-83272.3671875
20164,-82382.25
20836,-53177.60546875
21508,-96385.703125
22180,-86824.6875
22852,-108269.7109375
23524,-92096.90625
24196,-43863.52734375
24868,-4653.15234375
25540,-40471.66015625
26212,-21782.388671875
26884,-3027.014404296875
27556,-49879.66015625
28228,-42488.87890625
28900,-94030.9609375
29572,-84057.5078125
30244,-124244.5546875
30916,-92437.515625
31588,-87360.75
32260,-75735.9453125
32932,-92120.5
33604,-62429.20703125
34276,-12435.015625
34948,-265.0285339355469
35620,-98173.4765625
36292,-84933.21875
36964,-114389.546875
37636,-123991.1015625
38308,-87500.1484375
38980,-140194.34375
39652,-10814.431640625
40324,-94159.3125
40996,-52175.62890625
41668,-9093.935546875
42340,-39821.3125
43012,-39835.44140625
43684,-140079.546875
44356,-64878.76171875
45028,-53956.3515625
45700,-40970.5703125
46372,-46072.0546875
47044,-4004.5986328125
47716,-77485.4765625
48388,-10813.6669921875
49060,-57182.27734375
49732,-15480.9423828125
50404,-6659.818359375
51076,-12608.3193359375
51748,-8976.5810546875
52420,-38120.27734375
53092,-64956.1875
53764,-2241.16015625
54436,-35123.87109375
55108,-25602.162109375
55780,-27679.92578125
56452,-13562.7978515625
57124,-2074.592529296875
57796,-9323.7119140625
58468,-3716.8037109375
59140,-28380.240234375
59812,-3111.650390625
60484,-10474.1025390625
61156,-28298.890625
61828,-35702.13671875
62500,-22980.083984375
63172,-20207.36328125
63844,-4622.98583984375
64516,-39884.8203125
65188,-57074.72265625
65860,-62408.52734375
66532,-7811.59912109375
67204,-41892.26953125
67876,-25479.552734375
68548,-28581.580078125
69220,-59515.81640625
69892,-28801.705078125
70564,-2198.869873046875
71236,-21873.87890625
71908,-310.254638671875
72580,-1568.42822265625
73252,-54190.78515625
73924,-49507.39453125
74596,-20346.123046875
75268,-49983.8828125
75940,-29979.89453125
76612,-62227.24609375
77284,-46882.47265625
77956,-1833.2080078125
78628,-25825.943359375
79300,-10178.2919921875
79972,-39933.78515625
80644,-139.54649353027344
81316,-11591.6611328125
81988,-15682.548828125
82660,-18693.140625
83332,-8476.462890625
84004,-1993.6759033203125
84676,-4329.36767578125
85348,-23729.390625
86020,-44207.6015625
86692,-17217.27734375
87364,-18308.21875
88036,-60609.65234375
88708,-31311.51171875
89380,-19261.798828125
90052,-10384.103515625
90724,-30029.72265625
91396,-3299.163818359375
92068,-1600.1055908203125
92740,-5109.8427734375
93412,-8009.9228515625
94084,-36222.51953125
94756,-78503.359375
95428,-22144.619140625
96100,-60035.45703125
96772,-89703.59375
97444,-19500.77734375
98116,-10344.123046875
98788,-7844.513671875
99460,-17431.626953125
100132,-40540.27734375
100804,-21092.37890625
101476,-34460.015625
102148,-7798.71875
102820,-63200.0
103492,-5375.40966796875
104164,-19358.130859375
104836,-2064.63720703125
105508,-7011.5869140625
106180,-84642.3125
106852,-90884.53125
107524,-25939.888671875
108196,-331.60516357421875
108868,-5618.09423828125
109540,-258.12628173828125
110212,-2932.28125
110884,-29349.556640625
111556,-1715.6966552734375
112228,-729.7803955078125
112900,-12667.1357421875
113572,-15949.7490234375
114244,-11836.3779296875
114916,-46728.93359375
115588,-35261.3984375
116260,-106909.1875
116932,-62963.57421875
117604,-8742.8408203125
118276,-69314.625
118948,-9324.0810546875
119620,-24678.9296875
120292,-15829.265625
120964,-15220.4326171875
121636,-19909.00390625
122308,-4423.60498046875
122980,-42878.484375
123652,-104630.015625
124324,-6161.48388671875
124996,-107278.640625
125668,-13195.2509765625
126340,-19728.751953125
127012,-31287.908203125
127684,-16318.6142578125
128356,-35124.2578125
129028,-60660.55078125
129700,-115981.46875
130372,-27890.46875
131044,-119502.9140625
131716,-5392.619140625
132388,-4084.850830078125
133060,-12367.7783203125
133732,-11301.4169921875
134404,-4714.60400390625
135076,-9389.7060546875
135748,-88150.3671875
136420,-9448.478515625
137092,-28645.234375
137764,-27378.66796875
138436,-20040.826171875
139108,-2833.765625
139780,-14100.25
140452,-44901.6875
141124,-17523.783203125
141796,-43239.609375
142468,-6889.21630859375
143140,-59892.75390625
143812,-2447.802734375
144484,-2693.80859375
145156,-43788.46875
145828,-86437.953125
146500,-29201.82421875
147172,-121710.8515625
147844,-44619.421875
148516,-17498.556640625
149188,-28864.7265625
149860,-4882.8896484375
150532,-8494.130859375
151204,-16688.45703125
151876,-1257.6112060546875
152548,-82606.6328125
153220,-13993.197265625
153892,-7988.39599609375
154564,-29994.79296875
155236,-8602.873046875
155908,-73413.3046875
156580,-14262.8662109375
157252,-179.93931579589844
157924,-16163.1044921875
158596,-70620.7109375
159268,-13508.37109375
159940,-2969.869384765625
160612,-7685.82958984375
161284,-24103.103515625
161956,-132055.796875
162628,-19642.546875
163300,-39394.2421875
163972,-99520.2421875
164644,-6736.72509765625
165316,-63.24476623535156
165988,-2513.721435546875
166660,-104572.4609375
167332,-9747.9921875
168004,-30617.953125
168676,-55806.78515625
169348,-1793.9267578125
170020,-24602.84765625
170692,-15477.296875
171364,-68999.0390625
172036,-51689.07421875
172708,-38633.45703125
173380,-29925.748046875
174052,-66271.09375
174724,-29244.80859375
175396,-81880.0703125
176068,-107176.015625
176740,-114843.5625
177412,-21832.388671875
178084,-53701.59765625
178756,-160488.625
179428,-33520.375
180100,-98779.3203125
180772,-2618.149658203125
181444,-6697.6171875
182116,-13817.25
182788,-154536.796875
183460,-86134.6015625
184132,-130900.3671875
184804,-15016.951171875
185476,-133686.8125
186148,-1013.2049560546875
186820,-2913.271240234375
187492,-41034.8359375
188164,-27580.60546875
188836,-7546.75634765625
189508,-101584.578125
190180,-6982.07568359375
190852,-55025.25390625
191524,-29662.0625
192196,-90648.9921875
192868,-18246.376953125
193540,-12339.2041015625
194212,-114323.890625
194884,-3259.726806640625
195556,-6317.259765625
196228,-23115.6171875
196900,-8488.2861328125
197572,-1394.1435546875
198244,-10334.447265625
198916,-23398.501953125
199588,-131757.703125
200260,-3442.82275390625
200932,-6255.453125
201604,-5820.48876953125
202276,-1552.52685546875
202948,-22689.072265625
203620,-65212.47265625
204292,-23524.703125
204964,-16655.869140625
205636,-101821.25
206308,-43958.671875
206980,-16303.0185546875
207652,-16474.14453125
208324,-35352.77734375
208996,-125441.1640625
209668,-14375.845703125
210340,-109043.6953125
211012,-7763.47509765625
211684,-74198.2265625
212356,-19035.439453125
213028,-112670.984375
213700,-79782.0859375
214372,-20340.38671875
215044,-14589.955078125
215716,-140766.796875
216388,-20748.013671875
217060,-123.230712890625
217732,-97088.59375
218404,-31723.369140625
219076,-6451.35693359375
219748,-577.59423828125
220420,-109690.515625
221092,-143652.6875
221764,-20794.48046875
222436,-3429.14306640625
223108,-35785.2734375
223780,-22497.15625
224452,-21229.994140625
225124,-72836.9765625
225796,-151625.234375
226468,-32102.87890625
227140,-104514.8515625
227812,-137656.890625
228484,-23987.1953125
229156,-162498.28125
229828,-55641.83984375
230500,-140623.59375
231172,-6407.35107421875
231844,-101150.8203125
232516,-1657.56201171875
233188,-5439.56103515625
233860,-161091.453125
234532,-394.6408386230469
235204,-50412.703125
235876,-69697.5390625
236548,-11679.8388671875
237220,-19154.248046875
237892,-90583.34375
238564,-31652.2265625
239236,-13491.0927734375
239908,-58026.99609375
240580,-87681.234375
241252,-9369.853515625
241924,-36388.81640625
242596,-69733.734375
243268,-8622.6484375
243940,-29423.09375
244612,-3771.591796875
245284,-11013.234375
245956,-48222.48046875
246628,-148573.703125
247300,-4263.2041015625
247972,-27278.2578125
248644,-4043.0234375
249316,-17465.75
249988,-58294.72265625
250660,-5515.02392578125
251332,-22723.7109375
252004,-9428.6103515625
252676,-42943.16015625
253348,-4661.22705078125
254020,-352.6422424316406
254692,-16980.009765625
255364,-2530.11181640625
256036,-101979.4609375
256708,-8079.9501953125
257380,-71118.1875
258052,-29802.09375
258724,-68953.65625
259396,-7492.1513671875
260068,-122357.8984375
260740,-4580.84130859375
261412,-18851.95703125
262084,-57445.6484375
262756,-27601.171875
263428,-2798.699462890625
264100,-5399.5595703125
264772,-26341.578125
265444,-2310.60888671875
266116,-21676.740234375
266788,-114921.25
267460,-2601.282470703125
268132,-41641.1875
268804,-33682.8359375
269476,-19210.15234375
270148,-15231.6357421875
270820,-8957.025390625
271492,-2991.2294921875
272164,-35317.8515625
272836,-1008.17041015625
273508,-34836.11328125
274180,-9349.0478515625
274852,-90659.34375
275524,-138295.046875
276196,-102833.1796875
276868,-7579.98583984375
277540,-6461.8154296875
278212,-8678.103515625
278884,-27692.853515625
279556,-169916.859375
280228,-150791.96875
280900,-24697.142578125
281572,-55155.21875
282244,-110846.71875
282916,-126012.640625
283588,-153481.515625
284260,-112919.9921875
284932,-11967.1494140625
285604,-44866.109375
286276,-81538.203125
286948,-110403.734375
287620,-39703.25390625
288292,-134369.203125
288964,-41696.9375
289636,-36779.0703125
290308,-62506.31640625
290980,-1183.8360595703125
291652,-53828.4921875
292324,-13270.7216796875
292996,-14929.0556640625
293668,-395.34033203125
294340,-65532.9609375
295012,-64594.703125
295684,-96828.265625
296356,-22571.34375
297028,-3360.827392578125
297700,-23750.259765625
298372,-4747.81201171875
299044,-9645.8134765625
299716,-5606.69873046875
