#{"env_id": null, "t_start": 1610028553.041519}
r,l,t
-4.517419,96,18.578758
-5.578455,96,36.185084
-139.038245,96,52.110396
-27.476537,96,71.510605
-3.516118,96,91.733422
-21.031491,96,107.913554
-8.220815,96,124.296314
-10.386506,96,143.249358
-4.371308,96,159.813575
-39.618725,96,176.252976
-89.851855,96,192.611953
-25.19985,96,209.237958
-1.965096,96,225.480347
-32.452508,96,241.769946
-2.127166,96,262.125421
-1.966179,96,284.773764
-35.871767,96,310.631958
-29.718364,96,340.002956
-21.36801,96,368.115961
-2.450842,96,394.57205
-137.668374,96,411.889708
-9.15888,96,431.137784
-75.033324,96,450.906156
-15.898529,96,469.34461
-40.396081,96,486.721222
-7.541998,96,502.964553
-6.814488,96,520.272038
-43.850235,96,537.853167
-69.943274,96,554.991099
-2.221025,96,572.507684
-17.720955,96,588.741578
-18.235353,96,605.024158
-12.174823,96,622.027975
-13.345071,96,638.638293
-9.644504,96,656.13592
-3.924656,96,672.968826
-10.07227,96,689.646556
-1.473953,96,705.666189
-12.562727,96,721.953118
-69.603935,96,738.752621
-21.852729,96,755.573979
-20.186366,96,772.574675
-44.305307,96,789.428701
-88.708637,96,805.737956
-92.371432,96,822.125905
-61.424739,96,838.20323
-19.452413,96,854.45453
-47.798292,96,871.190473
-2.264734,96,887.365521
-4.634032,96,903.033817
-13.000589,96,919.731354
-53.692913,96,935.31425
-3.6703,96,950.177566
-0.124622,96,964.438435
-1.616737,96,979.644041
-8.212332,96,994.281669
-13.539809,96,1009.583273
-64.626791,96,1024.900641
-100.49915,96,1040.205393
-68.288604,96,1055.805126
-71.160387,96,1070.569084
-41.697088,96,1088.745746
-1.269062,96,1105.661746
-12.620527,96,1122.896312
-77.561263,96,1139.465526
-15.410086,96,1154.738177
-1.766065,96,1170.336182
-56.723285,96,1185.456704
-48.643216,96,1201.832085
-20.276969,96,1217.212368
-4.833259,96,1233.059188
-2.744989,96,1250.412992
-8.327684,96,1267.10696
-18.551228,96,1283.344274
-58.51524,96,1298.806513
-18.749867,96,1313.994164
-40.781408,96,1328.83562
-34.628871,96,1344.402643
-7.058849,96,1359.694028
-41.257752,96,1374.613909
-44.574556,96,1389.085179
-0.856912,96,1404.55086
-11.972855,96,1420.040828
-37.651376,96,1434.638186
-77.610452,96,1448.964096
-34.489021,96,1463.292084
-12.66588,96,1478.156529
-22.475711,96,1494.199527
-0.608772,96,1509.108431
-85.810929,96,1523.566949
-20.253323,96,1538.627716
-1.649571,96,1554.667295
-2.483725,96,1569.733342
-71.661216,96,1585.165941
-1.909761,96,1599.80932
-2.751399,96,1614.422894
-39.696771,96,1629.943765
-15.88067,96,1644.434309
-1.249269,96,1658.989474
-9.559811,96,1674.247628
-1.097839,96,1689.29819
-10.690054,96,1704.368621
-5.671151,96,1718.982399
-9.647242,96,1734.16851
-15.458627,96,1751.403429
-23.248215,96,1767.998399
-61.120887,96,1784.179327
-0.891053,96,1800.050002
-1.049746,96,1814.586476
-2.842807,96,1829.189713
-1.096129,96,1844.005096
-13.942842,96,1858.690866
-76.410526,96,1873.128271
-2.022668,96,1887.784628
-23.275916,96,1902.382239
-86.826228,96,1917.268996
-101.701819,96,1931.721557
-54.160428,96,1947.140318
-16.89744,96,1961.780989
-43.062714,96,1976.74383
-0.836875,96,1991.664057
-0.599853,96,2006.197048
-68.766555,96,2020.70595
-84.188836,96,2035.24124
-59.557239,96,2050.12687
-125.509171,96,2065.075339
