#{"t_start": 1610049436.821441, "env_id": null}
r,l,t
-17.358486,96,18.126666
-38.825241,96,35.720265
-1369.502568,96,51.85236
-256.649218,96,68.216624
-7.695984,96,89.150274
-198.366859,96,107.514258
-35.146385,96,129.672542
-77.166532,96,147.572476
-4.376641,96,164.075491
-374.109119,96,181.117881
-870.485737,96,197.859632
-227.047398,96,214.437267
-3.710155,96,230.713745
-313.81647,96,247.696785
-2.129766,96,264.921892
-1.982778,96,281.47949
-345.821422,96,299.048071
-267.292222,96,316.429075
-202.455987,96,333.556819
-3.595128,96,353.259423
-1353.852518,96,370.857911
-65.501722,96,387.753369
-836.442257,96,406.199047
-95.594281,96,424.350555
-381.288763,96,441.757923
-57.205398,96,458.048189
-53.137791,96,475.819933
-394.878219,96,499.585049
-723.816455,96,520.762959
-2.266775,96,537.982338
-148.684834,96,554.20235
-171.436775,96,570.556748
-56.975394,96,587.924445
-119.67793,96,604.523191
-56.610162,96,621.826356
-75.41718,96,638.216179
-46.303866,96,655.45151
-11.001817,96,671.87667
-217.286903,96,689.124326
-865.728401,96,706.034501
-360.985177,96,722.802704
-246.088249,96,742.464643
-641.116061,96,761.924814
-1070.793127,96,781.312142
-1112.111451,96,798.918999
-322.428819,96,815.820022
-30.471424,96,832.248505
-380.590178,96,848.718531
-89.961978,96,866.266573
-29.121322,96,882.265757
-347.042499,96,898.510274
-313.605702,96,915.014902
-24.455537,96,931.318629
-762.819943,96,948.396846
-109.27938,96,964.84543
-213.360462,96,981.778022
-35.095644,96,999.141497
-304.111388,96,1015.528221
-751.860655,96,1032.390485
-520.648266,96,1049.22446
-564.471077,96,1064.840708
-605.480619,96,1082.392947
-31.258091,96,1098.676464
-166.12914,96,1115.268592
-754.823083,96,1132.215934
-125.696572,96,1149.134289
-15.291629,96,1165.998465
-555.502991,96,1181.666613
-441.076734,96,1198.923613
-200.682143,96,1215.680779
-87.966502,96,1232.277541
-31.876632,96,1249.017973
-81.489106,96,1266.281312
-224.43366,96,1284.295837
-783.906828,96,1300.87997
-78.016483,96,1318.393752
-251.695906,96,1334.462672
-209.921891,96,1351.038642
-2.619907,96,1367.23512
-596.328749,96,1383.034295
-196.413222,96,1400.710794
-20.636214,96,1419.858357
-11.199695,96,1439.361511
-300.044348,96,1457.748204
-592.18518,96,1474.198428
-23.205311,96,1490.29743
-27.646135,96,1506.321356
-152.582622,96,1522.433463
-20.699619,96,1538.326455
-689.110948,96,1553.880011
-3.83222,96,1569.422537
-1.214549,96,1586.589774
-49.062891,96,1603.912578
-965.086398,96,1620.981111
-0.198772,96,1636.534339
-203.838125,96,1652.692723
-277.464549,96,1670.073384
-46.253611,96,1686.422164
-103.891085,96,1703.268391
-61.350262,96,1719.291301
-103.804949,96,1735.91486
-91.379775,96,1752.899284
-4.724179,96,1770.89646
-302.198906,96,1786.610397
-248.921692,96,1802.545468
-145.872481,96,1819.197658
-490.837904,96,1835.31929
-14.207343,96,1851.071163
-40.952332,96,1867.128655
-95.083156,96,1883.873983
-199.804675,96,1902.04844
-12.444861,96,1919.636406
-550.311585,96,1934.965372
-13.395881,96,1951.034765
-377.29362,96,1966.623627
-723.171928,96,1982.714148
-882.104334,96,1997.927706
-459.839865,96,2013.744066
-270.816718,96,2029.258183
-306.47103,96,2044.954734
-4.698253,96,2063.373329
-0.654148,96,2080.886036
-623.591576,96,2098.150776
-782.959784,96,2115.067643
-530.195861,96,2131.44417
-1105.467122,96,2147.7205
-346.422986,96,2163.998265
-30.525568,96,2180.071651
-311.552733,96,2197.710007
-231.932569,96,2214.286286
-567.318331,96,2230.046351
-13.174237,96,2246.100725
-1370.440198,96,2261.992308
-22.712065,96,2277.476332
-215.078459,96,2292.944178
-265.927889,96,2309.211059
-5.911091,96,2324.353571
-171.072507,96,2340.21515
-279.826571,96,2356.099311
-51.549871,96,2372.505239
-690.489528,96,2387.719984
-617.852098,96,2402.876861
-676.888615,96,2418.360727
-157.614462,96,2434.497295
-10.18594,96,2455.307306
-191.698029,96,2471.021627
-155.787964,96,2487.365573
-899.740675,96,2503.156526
-10.498149,96,2518.583713
-255.153337,96,2533.800139
-678.789134,96,2549.863384
-278.538603,96,2566.580875
-42.544861,96,2582.481295
-115.944101,96,2597.846802
-478.335463,96,2613.35249
-644.235486,96,2628.549211
-118.905714,96,2644.350966
-133.200685,96,2661.129295
-210.566676,96,2677.245702
-148.67677,96,2692.871018
-601.727794,96,2709.52717
-198.000788,96,2728.529099
-568.363485,96,2746.459705
-353.269921,96,2766.325052
-516.418444,96,2791.808292
-111.043345,96,2808.031899
-857.241757,96,2823.930959
-503.752208,96,2839.445017
-59.570318,96,2855.628145
-215.040565,96,2871.087061
-1.544975,96,2886.197997
-40.479205,96,2901.741173
-882.057417,96,2916.861837
-665.709207,96,2932.085506
-603.358456,96,2946.723458
-526.234391,96,2962.441336
-321.52407,96,2977.919888
-393.411807,96,2993.09966
-1068.709941,96,3008.161006
-236.115676,96,3023.866075
-303.821509,96,3039.866266
-480.076025,96,3055.448259
-255.072116,96,3071.110265
-62.599825,96,3087.384706
-87.650919,96,3103.910694
-181.402745,96,3119.815224
-266.16852,96,3134.822551
-82.531265,96,3150.777652
-537.964826,96,3165.844023
-48.647924,96,3181.253934
-288.739375,96,3195.917965
-520.412234,96,3211.847916
-876.567687,96,3226.983593
-31.827149,96,3242.626871
-157.929688,96,3258.270084
-0.396608,96,3275.220921
-239.50001,96,3290.339349
-1.589346,96,3308.181828
-535.027794,96,3323.735325
