#{"env_id": null, "t_start": 1610489986.441113}
r,l,t
-2.698393,96,22.436968
-2.255281,96,40.597616
-18.185096,96,57.567409
-12.441974,96,75.356094
-3.628728,96,92.009477
-12.045288,96,109.450389
-7.573444,96,127.466342
-2.013127,96,144.958132
-2.99288,96,177.130804
-3.077497,96,194.497541
-16.722959,96,211.346208
-8.253386,96,229.179996
-9.991883,96,247.587134
-4.607094,96,264.993742
-3.32848,96,282.347306
-5.425356,96,298.904715
-11.148521,96,317.958584
-10.930603,96,335.62581
-11.123643,96,353.539278
-3.803453,96,369.973197
-0.839143,96,387.307192
-4.249091,96,403.489453
-2.069701,96,420.989176
-9.488872,96,439.249481
-8.595172,96,456.507622
-4.653674,96,473.655638
-9.511575,96,491.700874
-10.601683,96,512.669549
-1.012336,96,531.706443
-2.741315,96,549.291344
-8.10779,96,566.645121
-4.536239,96,583.303173
-5.382734,96,600.385025
-2.397346,96,616.455395
-4.679478,96,633.656268
-6.997304,96,650.09904
-5.066092,96,667.260677
-2.075155,96,684.088147
-4.058725,96,699.880574
-0.342533,96,716.413268
-3.093384,96,732.712787
-1.846606,96,749.738589
-0.503237,96,765.469386
-0.567548,96,782.317866
-1.072689,96,798.756112
-13.014475,96,816.630457
-7.067235,96,835.104201
-10.391304,96,852.366707
-0.300899,96,869.161242
-2.51474,96,885.936965
-1.392673,96,902.969539
-12.022181,96,919.740655
-5.597733,96,936.878596
-0.334743,96,952.805884
-2.567229,96,969.178347
-0.34489,96,985.192993
-6.111478,96,1003.354097
-10.484622,96,1019.429087
-14.15496,96,1036.533049
-11.54765,96,1053.225517
-12.870879,96,1069.662271
-4.69128,96,1086.384279
-1.7341,96,1103.46415
-0.368739,96,1119.911755
-1.384417,96,1135.636375
-8.538405,96,1152.66892
-0.595251,96,1171.469791
-11.934533,96,1190.404611
-8.543226,96,1208.037967
-0.453315,96,1225.930587
-0.323021,96,1242.218132
-3.423229,96,1258.087188
-1.119228,96,1274.735917
-0.313425,96,1290.630398
-6.780562,96,1307.913072
-2.590345,96,1323.592743
-6.690625,96,1339.849733
-4.292573,96,1355.694959
-3.762605,96,1372.391877
-15.195446,96,1389.167176
-8.006565,96,1406.231692
-2.069136,96,1423.996691
-0.95258,96,1443.352525
-4.29406,96,1460.772064
-8.819583,96,1477.927816
-2.099379,96,1495.692857
-2.56539,96,1512.008308
-2.633202,96,1529.343721
-15.975452,96,1545.506361
-9.629537,96,1561.715794
-3.840378,96,1580.275397
-11.976064,96,1599.106512
-13.857874,96,1616.661879
-34.614355,96,1634.229029
-18.626646,96,1651.699872
-23.780114,96,1668.10059
-3.315057,96,1687.442616
-2.656192,96,1704.089101
-22.658663,96,1722.611477
-13.332169,96,1740.701572
-27.799731,96,1758.247631
-13.137898,96,1775.942239
-17.500761,96,1794.004528
-22.950845,96,1811.917533
-29.490537,96,1830.792413
-3.188662,96,1850.403421
-5.439144,96,1871.318588
-7.218723,96,1889.856194
-25.339492,96,1908.542704
-15.392472,96,1926.137128
-24.657017,96,1942.806124
-2.727017,96,1960.145845
-6.308684,96,1976.451223
-30.184218,96,1993.454287
-30.506937,96,2010.456986
-9.84386,96,2027.627941
-9.58711,96,2044.13587
-6.248623,96,2060.418488
-28.15579,96,2076.896582
-2.639808,96,2095.559168
-6.944894,96,2113.285926
-16.009921,96,2130.025454
-7.737311,96,2146.856226
-8.676047,96,2163.071588
-8.672515,96,2181.184875
-15.300695,96,2198.031541
-3.714008,96,2215.463065
-4.761383,96,2232.307131
-4.009667,96,2252.010331
-16.594937,96,2269.701236
-23.719232,96,2286.533773
-6.196928,96,2303.848171
-17.684224,96,2320.507943
-1.78053,96,2337.541587
-2.613093,96,2353.555079
-3.893,96,2370.460552
-2.808278,96,2387.088475
-3.349275,96,2403.613873
-4.376645,96,2422.041717
-0.099761,96,2440.707006
-7.090203,96,2457.421399
-8.639086,96,2473.411877
-10.460037,96,2491.459149
