#{"t_start": 1610529520.8926442, "env_id": null}
r,l,t
-2.657142,96,27.379278
-1.78996,96,48.219096
-14.563085,96,69.314126
-7.332322,96,87.596853
-4.100254,96,105.218032
-10.30407,96,124.107462
-4.829414,96,142.218126
-3.092295,96,160.071535
-4.11027,96,183.834822
-1.98486,96,200.403999
-16.87326,96,217.599063
-7.971335,96,233.962596
-9.8576,96,250.546456
-4.123021,96,267.591213
-2.949516,96,284.672455
-4.460132,96,303.717949
-11.957497,96,321.236097
-10.803528,96,338.802429
-10.673231,96,355.556747
-3.528618,96,372.301073
-9.620581,96,390.044868
-4.546505,96,407.182496
-3.421603,96,423.997746
-8.946229,96,441.695735
-7.979301,96,459.57973
-4.412782,96,475.947923
-7.63866,96,493.157325
-10.380051,96,510.38586
-16.4247,96,527.928135
-2.726536,96,544.217282
-6.476161,96,560.873877
-4.211847,96,577.415471
-5.382734,96,593.424335
-2.397346,96,609.364498
-4.679478,96,626.06264
-6.997304,96,643.161027
-5.066092,96,659.398797
-2.075155,96,677.161683
-4.058725,96,695.337547
-0.342533,96,713.485852
-3.093384,96,732.354314
-1.772629,96,749.95119
-0.48756,96,766.448328
-0.470743,96,783.053942
-1.072689,96,800.108042
-13.014475,96,816.832606
-7.067235,96,833.760064
-10.391304,96,849.718022
-0.300899,96,866.10551
-2.51474,96,882.113539
-1.392673,96,899.984498
-12.022181,96,916.247388
-5.597733,96,933.032343
-0.334743,96,948.777072
-2.567229,96,965.334943
-0.278013,96,981.604783
-6.111478,96,998.602784
-10.484622,96,1014.808351
-14.15496,96,1030.810454
-11.54765,96,1047.529709
-12.870879,96,1063.83398
-1.787558,96,1082.568296
-1.7341,96,1103.811693
4.705488,96,1121.375505
-1.244118,96,1137.991992
-8.538405,96,1154.431323
-0.591389,96,1171.572957
-11.934533,96,1187.384546
-8.543226,96,1205.131594
-0.385964,96,1220.80979
-0.290822,96,1237.93302
-3.423229,96,1253.864464
-1.119228,96,1270.978978
-0.283971,96,1288.13077
-0.974169,96,1304.153687
-2.590345,96,1321.153986
-6.690625,96,1338.54852
-4.292573,96,1359.147256
-4.223995,96,1377.881974
-3.955166,96,1395.461541
-8.148997,96,1412.626437
-1.788699,96,1430.466514
-2.246116,96,1448.674377
-4.701575,96,1465.810468
-6.55627,96,1483.905304
-2.020852,96,1503.8435
-1.713657,96,1521.664082
-2.870299,96,1538.950622
-11.784516,96,1557.117899
-9.629537,96,1573.024359
-2.870367,96,1590.517551
-3.820085,96,1608.516254
-3.762909,96,1625.145564
-27.610235,96,1641.893208
-1.688863,96,1660.406829
-22.18015,96,1678.537287
-1.710956,96,1696.902534
-3.242803,96,1714.01555
-18.688365,96,1732.328115
-8.878334,96,1750.355127
-17.30578,96,1768.986433
-8.759151,96,1786.275585
-4.089614,96,1804.570976
-10.943643,96,1821.44388
-27.960754,96,1838.798354
-3.978134,96,1857.025831
-5.095626,96,1874.069952
-1.576141,96,1891.182465
-12.444184,96,1909.814786
-2.576305,96,1927.44801
-16.533717,96,1944.851249
-2.910044,96,1962.086563
-9.069752,96,1979.313339
-22.28957,96,1996.908797
-8.019305,96,2021.608526
-9.902793,96,2041.958635
-9.58711,96,2060.137616
-6.328865,96,2077.839826
-20.259137,96,2097.895395
-4.59017,96,2116.135317
-2.706137,96,2134.653985
-13.593238,96,2152.568314
-7.908041,96,2169.706247
-10.295302,96,2187.645644
