steps,episode_reward
672,-19385.24609375
1344,-6699.37939453125
2016,-172063.40625
2688,-74570.65625
3360,-10430.6318359375
4032,-63740.4609375
4704,-8189.439453125
5376,-944.33935546875
6048,-34392.671875
6720,-1773.8802490234375
7392,-2291.428955078125
8064,-40951.8828125
8736,-5533.39306640625
9408,-5588.79833984375
10080,-13346.869140625
10752,-19362.8984375
11424,-22184.603515625
12096,-1651.5662841796875
12768,-16963.6015625
13440,-8514.037109375
14112,-6367.28857421875
14784,-4708.80908203125
15456,-12603.4453125
16128,-504.16790771484375
16800,-6690.92333984375
17472,-7968.3486328125
18144,-1006.5669555664062
18816,-5594.39453125
19488,-1909.0966796875
20160,-18436.5
20832,-12560.53125
21504,-1679.236572265625
22176,-138074.1875
22848,-927.9266357421875
23520,-34293.35546875
24192,-9263.9736328125
24864,-26660.302734375
25536,-14918.5908203125
26208,-1055.9332275390625
26880,-138.29876708984375
27552,-18438.9765625
28224,-145.18699645996094
28896,-5771.97607421875
29568,-397.6239318847656
30240,-14158.2646484375
30912,-24622.470703125
31584,-9790.603515625
32256,-4454.505859375
32928,-219.91262817382812
33600,-3038.7705078125
34272,-5776.37890625
34944,-20254.0234375
35616,-132.93995666503906
36288,-23648.5859375
36960,-5822.36669921875
37632,-34255.453125
38304,-1077.3895263671875
38976,-6590.09130859375
39648,-8612.7109375
40320,-70311.4453125
40992,-274.6125793457031
41664,-2412.521240234375
42336,-24451.67578125
43008,-41446.3203125
43680,-61403.96484375
44352,-2854.448974609375
45024,-2817.178955078125
45696,-12844.58203125
46368,-53504.8515625
47040,-1129.22802734375
47712,-210.62852478027344
48384,-1866.9256591796875
49056,-16278.1845703125
49728,-164.19424438476562
50400,-8242.0478515625
51072,-3652.746337890625
51744,-1050.845947265625
52416,-7964.0693359375
53088,-20537.650390625
53760,-887.8175048828125
54432,-1408.3074951171875
55104,-272.4062194824219
55776,-168.97499084472656
56448,-412.4492492675781
57120,-3548.88134765625
57792,-4825.37646484375
58464,-4296.884765625
59136,-796.2029418945312
59808,-20579.818359375
60480,-29304.9296875
61152,-412.0469665527344
61824,-5197.81884765625
62496,-684.6537475585938
63168,-238.6646728515625
63840,-1814.908935546875
64512,-6911.26171875
65184,-304.6015319824219
65856,-14372.703125
66528,-394.58978271484375
67200,-579.6865844726562
67872,-93.47795867919922
68544,-6273.07080078125
69216,-130575.21875
69888,-820.6196899414062
70560,-1426.5533447265625
71232,-111.82431030273438
71904,-7640.43310546875
72576,-10321.716796875
73248,-2911.621337890625
73920,-2070.161376953125
74592,-152.0048370361328
75264,-12367.8369140625
75936,-11969.2509765625
76608,-26574.634765625
77280,-5909.9423828125
77952,-12988.216796875
78624,-3574.64453125
79296,-5054.650390625
79968,-588.1281127929688
80640,-11051.7099609375
81312,-4862.263671875
81984,-42073.95703125
82656,-1842.17041015625
83328,-14016.3505859375
84000,-19044.640625
84672,-2607.38330078125
85344,-263.6628112792969
86016,-3648.179443359375
86688,-743.9324951171875
87360,-6176.37939453125
88032,-4184.64599609375
88704,-1175.3448486328125
89376,-14288.056640625
90048,-17500.2109375
90720,-1315.934814453125
91392,-15269.076171875
92064,-2738.5224609375
92736,-4040.6083984375
93408,-2170.32666015625
94080,-401.12158203125
94752,-6865.32470703125
95424,-4444.693359375
96096,-1087.6973876953125
96768,-1053.3653564453125
97440,-5526.1845703125
98112,-5627.43017578125
98784,-1454.5780029296875
99456,-2139.422119140625
100128,-6284.84228515625
100800,-387.802001953125
101472,-19922.890625
102144,-3138.488037109375
102816,-3150.8916015625
103488,-11917.1494140625
104160,-14948.634765625
104832,-217.86795043945312
105504,-13885.048828125
106176,-976.516845703125
106848,-5294.0947265625
107520,-1720.4031982421875
108192,-117.97039794921875
108864,-1141.3013916015625
109536,-1318.9180908203125
