steps,episode_reward
336,-42802.01171875
672,-39784.75
1008,-71410.125
1344,-40545.0859375
1680,-95945.6875
2016,-7754.009765625
2352,-76646.953125
2688,-43457.640625
3024,-24697.95703125
3360,-6448.1904296875
3696,-1972.6676025390625
4032,-5564.02197265625
4368,-5396.19482421875
4704,-17743.5703125
5040,-54267.9609375
5376,-19260.076171875
5712,-1225.5867919921875
6048,-4324.2451171875
6384,-6815.7138671875
6720,-5382.87255859375
7056,-14997.1064453125
7392,-7555.427734375
7728,-526.349853515625
8064,-119.1028823852539
8400,-7618.68359375
8736,-158.05601501464844
9072,-9579.9130859375
9408,-9954.8974609375
9744,-1560.262939453125
10080,-60.403926849365234
10416,-120.45231628417969
10752,-487.006103515625
11088,-720.41748046875
11424,-1361.2911376953125
11760,-91.57205963134766
12096,-1801.30810546875
12432,-47.54581832885742
12768,-113.96253967285156
13104,-108.68190002441406
13440,-57.68584442138672
13776,-8028.421875
14112,-169.755615234375
14448,-3867.92333984375
14784,-232.83831787109375
15120,-54.33880615234375
15456,-80.30948638916016
15792,-2270.712158203125
16128,-7357.7685546875
16464,-136.05335998535156
16800,-65.15717315673828
17136,-277.62811279296875
17472,-2452.67626953125
17808,-854.754638671875
18144,-73.87142181396484
18480,-85.41365051269531
18816,-89.7328872680664
19152,-279.42999267578125
19488,-9602.6455078125
19824,-660.9076538085938
20160,-98.06175994873047
20496,-917.4315795898438
20832,-52.600032806396484
21168,-95.26335144042969
21504,-217.5897216796875
21840,-1514.371337890625
22176,-85.2631607055664
22512,-20488.4765625
22848,-6537.556640625
23184,-16136.9267578125
23520,-100.96556091308594
23856,-85.03192138671875
24192,-56.54472732543945
24528,-19648.48046875
24864,-272.8915710449219
25200,-52.56455993652344
25536,-92.81684875488281
25872,-851.537841796875
26208,-907.0211791992188
26544,-8127.2890625
26880,-644.1174926757812
27216,-4606.28955078125
27552,-1343.4580078125
27888,-7279.572265625
28224,-15094.673828125
28560,-3237.30859375
28896,-60.84074783325195
29232,-110.20317840576172
29568,-9597.8203125
29904,-76.61686706542969
30240,-13244.974609375
30576,-142.97462463378906
30912,-2774.935546875
31248,-52.04277038574219
31584,-7529.90478515625
31920,-71.78337860107422
32256,-56.92523193359375
32592,-310.7310485839844
32928,-49.78440475463867
33264,-62.456581115722656
33600,-498.6383056640625
33936,-522.28466796875
34272,-200.07818603515625
34608,-266.33782958984375
34944,-599.4158325195312
35280,-53.04087448120117
35616,-50.16135787963867
35952,-360.26123046875
36288,-1306.0399169921875
36624,-12120.1611328125
36960,-45.4511833190918
37296,-4306.99755859375
37632,-1634.65625
37968,-7745.0498046875
38304,-152.81674194335938
38640,-8415.3681640625
38976,-803.3648071289062
39312,-219.9800262451172
39648,-106.84996032714844
39984,-2118.360595703125
40320,-1901.4310302734375
40656,-64.53054809570312
40992,-66.08135223388672
41328,-60.55994415283203
41664,-406.20343017578125
42000,-956.296142578125
42336,-310.2740783691406
42672,-4387.408203125
43008,-152.84298706054688
43344,-10939.25390625
43680,-94.4312973022461
44016,-183.41183471679688
44352,-486.66253662109375
44688,-48.395172119140625
45024,-549.5775756835938
45360,-5151.166015625
45696,-39.842857360839844
46032,-106.87462615966797
46368,-724.7239379882812
46704,-148.62142944335938
47040,-412.717529296875
47376,-178.9508514404297
47712,-2551.193359375
48048,-723.738525390625
48384,-5561.96142578125
48720,-644.7564697265625
49056,-295.1980285644531
49392,-677.3226318359375
49728,-3485.9951171875
50064,-1068.283447265625
50400,-1633.6141357421875
50736,-10333.9228515625
51072,-5273.6318359375
51408,-7441.802734375
51744,-253.41429138183594
52080,-582.5272827148438
52416,-340.1310729980469
52752,-2566.08154296875
53088,-620.4922485351562
53424,-197.8670196533203
53760,-633.4149169921875
54096,-17410.9375
54432,-4420.5556640625
54768,-862.4380493164062
55104,-454.8009338378906
55440,-504.0408630371094
55776,-64.48324584960938
56112,-446.8591613769531
56448,-906.24609375
56784,-106.64153289794922
57120,-3584.322021484375
57456,-205.97938537597656
57792,-61.83005142211914
58128,-2977.515869140625
58464,-9145.751953125
58800,-1281.217041015625
59136,-69.19673919677734
59472,-5999.71533203125
59808,-17182.375
60144,-951.5174560546875
60480,-119.55279541015625
60816,-5189.09326171875
61152,-233.84735107421875
61488,-325.86981201171875
61824,-995.3247680664062
62160,-94.38833618164062
62496,-575.7860107421875
62832,-131.6624298095703
63168,-108.76638793945312
63504,-1246.74609375
63840,-232.2777862548828
64176,-280.8148193359375
64512,-1557.409912109375
64848,-275.5848083496094
65184,-174.4107208251953
65520,-993.704345703125
65856,-472.19244384765625
66192,-291.47808837890625
66528,-115.44438171386719
66864,-2716.988525390625
67200,-45.35047912597656
67536,-583.8243408203125
67872,-52.356292724609375
68208,-96.80046081542969
68544,-1578.6290283203125
68880,-1268.5970458984375
69216,-433.34405517578125
69552,-283.7911376953125
69888,-8102.146484375
70224,-839.9581909179688
70560,-500.323974609375
70896,-1407.51318359375
71232,-401.7724914550781
71568,-94.4324722290039
71904,-2551.813232421875
72240,-47.649757385253906
72576,-175.45455932617188
72912,-52.55638885498047
73248,-86.74408721923828
73584,-418.78363037109375
73920,-1118.770263671875
74256,-59.56023406982422
74592,-5623.0390625
74928,-3831.11572265625
75264,-77.4272232055664
75600,-257.90570068359375
75936,-711.4497680664062
76272,-1929.8203125
76608,-40794.5546875
76944,-3926.4111328125
77280,-425.4271240234375
77616,-2755.595703125
77952,-2074.60986328125
78288,-198.24696350097656
78624,-752.4749755859375
78960,-526.2372436523438
79296,-670.6537475585938
79632,-9833.59765625
79968,-7999.81787109375
80304,-2651.23828125
80640,-4688.984375
80976,-452.54974365234375
81312,-98.6194076538086
81648,-740.4417114257812
81984,-52.02031326293945
82320,-168.34170532226562
82656,-83.27581024169922
82992,-139.5057830810547
83328,-935.517333984375
83664,-1207.795166015625
84000,-195.7710723876953
84336,-3104.609375
84672,-1752.9444580078125
85008,-758.5440673828125
85344,-2032.5352783203125
85680,-103.9202651977539
86016,-373.5712890625
86352,-401.4006042480469
86688,-196.17779541015625
87024,-320.4900817871094
87360,-84.74576568603516
87696,-4226.82177734375
88032,-2629.97216796875
88368,-7800.77099609375
88704,-1357.4688720703125
89040,-1440.2530517578125
89376,-4954.62646484375
89712,-98.61002349853516
90048,-387.0998229980469
90384,-97.10053253173828
90720,-1264.869140625
91056,-2477.459716796875
91392,-713.0300903320312
91728,-1738.683349609375
92064,-712.33984375
92400,-2282.5810546875
92736,-497.8581848144531
93072,-108.5156478881836
93408,-86.7276382446289
93744,-682.06591796875
94080,-216.02122497558594
94416,-613.9928588867188
94752,-7234.2958984375
95088,-218.5686492919922
95424,-16424.8359375
95760,-16962.734375
96096,-470.8985290527344
96432,-504.9207458496094
96768,-408.5052185058594
97104,-2126.394287109375
97440,-767.8750610351562
97776,-14076.3994140625
98112,-3197.338134765625
98448,-521.856689453125
98784,-1103.960693359375
99120,-2073.26611328125
99456,-7652.76025390625
99792,-266.4905090332031
100128,-5911.21142578125
100464,-7917.09619140625
100800,-775.1826782226562
101136,-2005.395263671875
101472,-2227.942626953125
101808,-454.0440979003906
102144,-1905.5120849609375
102480,-238.9706268310547
102816,-314.7413330078125
103152,-1687.4906005859375
103488,-7101.65771484375
103824,-5839.7275390625
104160,-119.16448211669922
104496,-49.84305191040039
104832,-301.3623962402344
105168,-118.2568359375
105504,-95.63734436035156
105840,-81.85914611816406
106176,-231.30715942382812
106512,-8525.919921875
106848,-613.834228515625
107184,-3246.91064453125
107520,-2748.304931640625
107856,-91.27360534667969
108192,-2955.0166015625
108528,-309.0771484375
108864,-219.26019287109375
109200,-12688.6083984375
109536,-1086.0604248046875
109872,-686.2857055664062
110208,-298.3895568847656
110544,-153.31442260742188
110880,-942.0929565429688
111216,-6514.0654296875
111552,-2392.8291015625
111888,-1125.3172607421875
112224,-811.0221557617188
112560,-2017.2176513671875
112896,-3360.521484375
113232,-437.048095703125
113568,-5901.11474609375
113904,-2384.07861328125
114240,-252.32098388671875
114576,-171.91522216796875
114912,-184.4466552734375
115248,-48.034690856933594
115584,-6478.7822265625
115920,-969.36328125
116256,-223.1530303955078
