steps,episode_reward
672,-99.64186096191406
1344,-25789.013671875
2016,-140177.0625
2688,-130491.40625
3360,-26796.396484375
4032,-139116.0625
4704,-36227.78125
5376,-7602.11328125
6048,-124929.875
6720,-30985.240234375
7392,-33499.01953125
8064,-77851.9296875
8736,-27105.86328125
9408,-26916.46875
10080,-28890.54296875
10752,-28474.564453125
11424,-60192.02734375
12096,-25794.759765625
12768,-54240.6875
13440,-52955.1328125
14112,-21968.205078125
14784,-4953.82861328125
15456,-33703.20703125
16128,-6438.46240234375
16800,-13228.59765625
17472,-23711.087890625
18144,-4051.8837890625
18816,-8847.060546875
19488,-3109.261474609375
20160,-52565.07421875
20832,-50486.953125
21504,-7623.673828125
22176,-55187.81640625
22848,-3268.060546875
23520,-51286.0625
24192,-29835.625
24864,-11838.3515625
25536,-5688.30859375
26208,-4939.02197265625
26880,-2385.36083984375
27552,-7567.3896484375
28224,-1082.6590576171875
28896,-7655.2421875
29568,-4199.55615234375
30240,-6712.60546875
30912,-77812.3203125
31584,-19719.498046875
32256,-557.1594848632812
32928,-12110.115234375
33600,-1430.6580810546875
34272,-3393.545166015625
34944,-68372.15625
35616,-4804.96484375
36288,-43295.390625
36960,-1623.45751953125
37632,-89770.2890625
38304,-590.0038452148438
38976,-2623.09912109375
39648,-17900.451171875
40320,-93332.6875
40992,-2736.2158203125
41664,-482.4195251464844
42336,-38335.31640625
43008,-48126.19140625
43680,-72782.2421875
44352,-269.667724609375
45024,-4719.390625
45696,-17364.244140625
46368,-50360.734375
47040,-684.2083740234375
47712,-259.7744445800781
48384,-3116.59375
49056,-27885.32421875
49728,-975.75732421875
50400,-3738.499267578125
51072,-4563.623046875
51744,-436.3132019042969
52416,-4592.31640625
53088,-1425.841552734375
53760,-114.80030822753906
54432,-1287.93896484375
55104,-2275.570556640625
55776,-130.42062377929688
56448,-206.41575622558594
57120,-2306.10595703125
57792,-3067.4345703125
58464,-46528.09765625
59136,-2941.324462890625
59808,-12722.4677734375
60480,-5018.9501953125
61152,-3753.830078125
61824,-4663.02734375
62496,-2560.759033203125
63168,-3253.1533203125
63840,-295.71221923828125
64512,-113.92389678955078
65184,-807.9127807617188
65856,-6420.4638671875
66528,-1664.55078125
67200,-762.0269165039062
67872,-127.25453186035156
68544,-1276.878662109375
69216,-99473.78125
69888,-260.2183532714844
70560,-522.9370727539062
71232,-193.95970153808594
71904,-722.9814453125
72576,-1926.458740234375
73248,-453.3077392578125
73920,-60.335933685302734
74592,-113.91016387939453
75264,-679.89794921875
75936,-1255.747314453125
76608,-18969.28125
77280,-601.5348510742188
77952,-8216.201171875
78624,-320.5586242675781
79296,-399.7249450683594
79968,-96.50676727294922
80640,-1027.6962890625
81312,-20220.619140625
