steps,input_info/rewards
688,-0.13766753673553467
728,-0.13859641551971436
738,-0.14335080981254578
744,-0.1384606659412384
823,-0.5715867280960083
847,-0.6445749402046204
899,-2.7175467014312744
924,-3.5458316802978516
977,-4.00125789642334
996,-6.616402626037598
1194,-12.934651374816895
1202,-10.76579761505127
1278,-15.711458206176758
1338,-19.337844848632812
1429,-18.504684448242188
1437,-19.300798416137695
1457,-19.34102439880371
1556,-29.343738555908203
1593,-34.46855926513672
1655,-40.19636917114258
1729,-59.152565002441406
1764,-65.30318450927734
1850,-73.24479675292969
1909,-70.42743682861328
2025,-85.0678939819336
2082,-74.84458923339844
2155,-82.42205047607422
2192,-82.84327697753906
2300,-85.41752624511719
2306,-82.89952850341797
2369,-81.3556900024414
2376,-88.18893432617188
2442,-91.73316955566406
2536,-100.16255950927734
2573,-101.71906280517578
2598,-103.5566177368164
2701,-111.69757843017578
2795,-98.98988342285156
2825,-100.46569061279297
2841,-98.35997009277344
2947,-91.44324493408203
3016,-95.42425537109375
3060,-109.87086486816406
3062,-102.680908203125
3097,-100.44473266601562
3147,-103.73577880859375
3174,-96.26766967773438
3186,-95.9065933227539
3257,-102.50053405761719
3275,-93.51875305175781
3435,-103.49420928955078
3677,-88.01520538330078
3680,-93.71279907226562
4000,-112.95591735839844
4006,-112.1616439819336
4014,-106.0409927368164
4070,-116.66011810302734
4089,-114.93233489990234
4107,-110.81075286865234
4275,-112.90229797363281
4311,-109.19114685058594
4317,-111.05147552490234
4335,-115.2983169555664
4372,-99.94712829589844
4387,-112.90185546875
4391,-117.19442749023438
4411,-108.63624572753906
4461,-105.06108093261719
4484,-99.35393524169922
4595,-102.47718811035156
4617,-104.96379852294922
4652,-107.73443603515625
4721,-102.20620727539062
4730,-100.2187271118164
4732,-99.71035766601562
4785,-106.18729400634766
4809,-112.76551818847656
4825,-101.00839233398438
4845,-109.30648803710938
4929,-92.35199737548828
5049,-96.50550079345703
5076,-100.54771423339844
5162,-94.72938537597656
5199,-94.37769317626953
5201,-94.41389465332031
5254,-102.3811264038086
5375,-91.19646453857422
5412,-92.69739532470703
5422,-97.29358673095703
5441,-92.99652099609375
5450,-100.1006088256836
5523,-92.02366638183594
5526,-93.71488189697266
5588,-83.80952453613281
5612,-88.58580017089844
5717,-92.47032928466797
5756,-90.72947692871094
5847,-103.14097595214844
5882,-101.07923889160156
5945,-101.90929412841797
5984,-96.34663391113281
5991,-102.7807388305664
6110,-108.20780944824219
6166,-106.65094757080078
6283,-104.00581359863281
6313,-103.55362701416016
6485,-99.58485412597656
6489,-95.46501922607422
6564,-92.76822662353516
6652,-108.8212661743164
6793,-96.04034423828125
6808,-97.90557861328125
6823,-109.63590240478516
6922,-94.77628326416016
6973,-99.91107177734375
7027,-96.09788513183594
7212,-95.28182983398438
7281,-98.66548919677734
7394,-98.66483306884766
7485,-101.83269500732422
7708,-97.09649658203125
7796,-97.72944641113281
7924,-107.45146179199219
7925,-93.98914337158203
7987,-87.82780456542969
8023,-89.58419036865234
8046,-96.5359878540039
8073,-90.12467193603516
8198,-102.7099380493164
8235,-92.52984619140625
8393,-92.96505737304688
8618,-92.12800598144531
8780,-92.54732513427734
8832,-88.29686737060547
8926,-89.04412841796875
8937,-88.05228424072266
8998,-94.47195434570312
9099,-87.4832763671875
9103,-84.2159652709961
9296,-87.62103271484375
9337,-84.78462982177734
9362,-88.98049926757812
9654,-85.3137435913086
9674,-83.59904479980469
9705,-88.22049713134766
9732,-83.74049377441406
9762,-86.00816345214844
9941,-88.17389678955078
9966,-85.90426635742188
10001,-86.44709014892578
10086,-90.80777740478516
10117,-82.90104675292969
10195,-80.83152770996094
10256,-84.69508361816406
10287,-77.79984283447266
10370,-81.38854217529297
10502,-81.52526092529297
10503,-78.52850341796875
10565,-87.51373291015625
10632,-85.64307403564453
10635,-79.0177993774414
10691,-80.31797790527344
10916,-78.36491394042969
10982,-76.36222076416016
11031,-83.59934997558594
11084,-75.72061920166016
11179,-86.42516326904297
11329,-83.73292541503906
11336,-84.89962768554688
11376,-80.73274993896484
11505,-85.16265869140625
11548,-73.0112533569336
11587,-77.03001403808594
11694,-80.36643981933594
11707,-83.72040557861328
11715,-82.77484893798828
11784,-78.47142028808594
11814,-76.43244171142578
11969,-80.17859649658203
11989,-82.01273345947266
12068,-80.10862731933594
12075,-85.41563415527344
12259,-78.2397689819336
12326,-90.39678955078125
12418,-79.76527404785156
12426,-78.52108764648438
12590,-75.77284240722656
12673,-80.80253601074219
12732,-77.04607391357422
12733,-76.17440032958984
12783,-80.81829833984375
12845,-79.893798828125
12862,-85.39168548583984
12902,-84.12129974365234
12995,-82.9300308227539
13016,-78.34679412841797
13025,-79.28924560546875
13178,-72.48714447021484
13190,-79.62993621826172
13225,-72.29330444335938
13266,-75.72840881347656
13312,-78.48046875
13384,-78.65637969970703
13575,-86.12034606933594
13796,-84.91512298583984
13969,-68.76984405517578
14084,-80.7558822631836
14087,-72.83841705322266
14132,-78.768310546875
14321,-74.08372497558594
14490,-82.22937774658203
14582,-75.14289093017578
14633,-69.94984436035156
14639,-79.82105255126953
14729,-75.46501922607422
14867,-68.56968688964844
14929,-78.19315338134766
14947,-78.61773681640625
15106,-67.69573211669922
15124,-76.31110382080078
15169,-68.31682586669922
15220,-75.58622741699219
15240,-74.14466094970703
15274,-76.69412994384766
15329,-72.957275390625
15381,-69.67302703857422
15462,-74.37748718261719
15515,-73.15968322753906
15533,-76.4094467163086
15637,-76.34020233154297
15654,-68.87181091308594
15714,-75.53457641601562
15719,-74.13058471679688
15856,-69.22991943359375
15917,-71.27587890625
15925,-74.51773071289062
16121,-73.9758071899414
16183,-74.68111419677734
16184,-70.5063705444336
16197,-66.65724182128906
16315,-75.29241943359375
16530,-66.62213897705078
16559,-65.10044860839844
16569,-72.86305236816406
16581,-76.58177185058594
16584,-68.61455535888672
16597,-64.303955078125
16622,-68.82920837402344
16760,-72.02565002441406
16764,-70.13033294677734
16873,-70.11486053466797
16875,-65.74998474121094
16878,-65.39759826660156
16890,-69.63700103759766
17160,-70.24864196777344
17382,-71.74800109863281
17432,-68.78800201416016
17443,-70.87030029296875
17452,-70.92151641845703
17473,-69.71172332763672
