steps,loss/td_error
688,-4860.01708984375
728,-4686.1015625
738,-5769.427734375
744,-5134.85498046875
823,-4640.85498046875
847,-4523.19677734375
899,-4930.5693359375
924,-3820.927490234375
977,-4880.8369140625
996,-4711.978515625
1194,-10567.1015625
1202,-12710.2734375
1278,-17418.490234375
1338,-21154.572265625
1429,-19889.69140625
1437,-17364.232421875
1457,-16843.333984375
1556,-9239.599609375
1593,-8303.60546875
1655,-6130.72119140625
1729,-3862.17529296875
1764,-3443.365966796875
1850,-1751.6802978515625
1909,-1480.875732421875
2025,-1128.222412109375
2082,-811.9213256835938
2155,-303.0075378417969
2192,-248.33558654785156
2300,-89.98139190673828
2306,-133.92117309570312
2369,-14.83173942565918
2376,13.909912109375
2442,21.60231590270996
2536,-14.229281425476074
2573,-15.421598434448242
2598,7.524437427520752
2701,-27.71407699584961
2795,-26.240446090698242
2825,-31.783647537231445
2841,-17.3908748626709
2947,-44.543487548828125
3016,-8.199555397033691
3060,1.1029330492019653
3062,-1.508217215538025
3097,-33.34885787963867
3147,-3.431518077850342
3174,-39.13060760498047
3186,-8.09476375579834
3257,-23.23508644104004
3275,-22.544124603271484
3435,2.7278666496276855
3677,6.685660362243652
3680,-6.435860633850098
4000,-33.253753662109375
4006,-64.20843505859375
4014,-32.83320617675781
4070,-69.45176696777344
4089,-19.452558517456055
4107,-46.99930953979492
4275,-69.16648864746094
4311,-34.59020233154297
4317,-30.542753219604492
4335,-48.76803207397461
4372,-36.25988006591797
4387,-59.172271728515625
4391,5.895188331604004
4411,29.95263671875
4461,-0.9365307092666626
4484,-14.206320762634277
4595,-39.04814910888672
4617,-4.609136581420898
4652,15.260820388793945
4721,-9.296831130981445
4730,-66.6241455078125
4732,-9.590478897094727
4785,-20.68735694885254
4809,-17.5687198638916
4825,-28.5750675201416
4845,-34.6169548034668
4929,-16.197433471679688
5049,-3.540985107421875
5076,-7.273096084594727
5162,-7.103392601013184
5199,-52.30675506591797
5201,2.3515188694000244
5254,-61.52037811279297
5375,-0.21650640666484833
5412,-73.50840759277344
5422,-10.639482498168945
5441,-5.8100433349609375
5450,-63.080013275146484
5523,-3.321721076965332
5526,-53.780941009521484
5588,-4.8943190574646
5612,-26.666088104248047
5717,0.7874769568443298
5756,12.634591102600098
5847,-9.888884544372559
5882,-8.265867233276367
5945,-71.17637634277344
5984,0.8915764093399048
5991,-21.057323455810547
6110,0.080413818359375
6166,4.48497200012207
6283,-13.652631759643555
6313,-19.515798568725586
6485,-5.155155658721924
6489,-29.518566131591797
6564,-2.4880123138427734
6652,-40.55669403076172
6793,4.487844467163086
6808,-53.40286636352539
6823,19.315235137939453
6922,-42.326385498046875
6973,12.772862434387207
7027,-4.958608150482178
7212,-34.99233627319336
7281,7.1216254234313965
7394,-52.695945739746094
7485,-22.819293975830078
7708,19.64386558532715
7796,-24.500545501708984
7924,18.029125213623047
7925,-17.963964462280273
7987,-11.195625305175781
8023,-1.502692699432373
8046,-26.751787185668945
8073,-43.98044204711914
8198,-41.24318313598633
8235,-13.655308723449707
8393,-1.855615496635437
8618,-13.949666023254395
8780,-35.645694732666016
8832,-15.920384407043457
8926,-40.01183319091797
8937,-22.497135162353516
8998,-53.79951477050781
9099,-11.562366485595703
9103,-12.218755722045898
9296,-7.915041923522949
9337,-103.19895935058594
9362,-9.269190788269043
9654,11.585029602050781
9674,-54.00520324707031
9705,-23.726028442382812
9732,-29.3657283782959
9762,-8.177971839904785
9941,-28.892194747924805
9966,5.345066547393799
10001,-20.552478790283203
10086,-3.676089286804199
10117,-10.907160758972168
10195,-13.202613830566406
10256,-13.079999923706055
10287,-12.489335060119629
10370,-10.532604217529297
10502,-13.98768424987793
10503,-20.90283203125
10565,-4.194532871246338
10632,-3.7115347385406494
10635,-18.913705825805664
10691,-24.5875244140625
10916,-29.801809310913086
10982,-3.047607421875
11031,-20.3675479888916
11084,-12.105006217956543
11179,-17.033584594726562
11329,-4.083834171295166
11336,-9.707606315612793
11376,-2.575361967086792
11505,-9.074766159057617
11548,15.479275703430176
11587,4.617329120635986
11694,4.476088047027588
11707,-38.96773910522461
11715,-13.747943878173828
11784,-21.61251449584961
11814,-13.191389083862305
11969,8.972412109375
11989,-0.211821049451828
12068,-3.0559074878692627
12075,0.2973712682723999
12259,-5.344365119934082
12326,-9.15610122680664
12418,-59.6003532409668
12426,-12.427577018737793
12590,-1.8053345680236816
12673,-4.013947486877441
12732,-4.700585842132568
12733,-0.15656471252441406
