steps,episode_reward
672,-12311.09375
1344,-42924.08984375
2016,-187287.375
2688,-55748.26953125
3360,-11083.9921875
4032,-49126.8125
4704,-7160.9501953125
5376,-987.6895141601562
6048,-71947.28125
6720,-5319.541015625
7392,-2347.049560546875
8064,-68434.4609375
8736,-15321.1142578125
9408,-16013.2578125
10080,-18767.392578125
10752,-41878.03125
11424,-39649.109375
12096,-9402.7314453125
12768,-44027.9765625
13440,-10350.1552734375
14112,-376.8196105957031
14784,-1872.8404541015625
15456,-2672.2607421875
16128,-719.8860473632812
16800,-8888.2197265625
17472,-25768.568359375
18144,-4494.70751953125
18816,-5290.08935546875
19488,-2070.5361328125
20160,-34803.33203125
20832,-12489.248046875
21504,-1872.8902587890625
22176,-59750.01953125
22848,-2190.624755859375
23520,-24365.810546875
24192,-5345.89013671875
24864,-16858.654296875
25536,-9420.990234375
26208,-3473.196044921875
26880,-1690.052734375
27552,-8894.6171875
28224,-282.9405517578125
28896,-687.5482177734375
29568,-864.3587036132812
30240,-1086.227783203125
30912,-63566.92578125
31584,-18232.658203125
32256,-799.7183837890625
32928,-444.1480407714844
33600,-395.3055114746094
34272,-2726.535888671875
34944,-27501.099609375
35616,-1200.94091796875
36288,-28458.369140625
36960,-965.5655517578125
37632,-41605.42578125
38304,-1176.258544921875
38976,-1169.571533203125
39648,-1640.455322265625
40320,-54842.03125
40992,-914.4388427734375
41664,-158.34735107421875
42336,-20203.341796875
43008,-36342.546875
43680,-38022.73828125
44352,-463.9161376953125
45024,-6159.84423828125
45696,-7998.34228515625
46368,-32692.6484375
47040,-1616.6534423828125
47712,-341.60028076171875
48384,-463.7077331542969
49056,-2671.671630859375
49728,-245.49148559570312
50400,-3479.183349609375
51072,-133.5538787841797
51744,-382.38232421875
52416,-3762.98388671875
53088,-11241.8388671875
53760,-557.606689453125
54432,-1377.822021484375
55104,-7497.568359375
55776,-292.89752197265625
56448,-155.06524658203125
57120,-1337.945556640625
57792,-668.2922973632812
58464,-2950.485107421875
59136,-257.1661682128906
59808,-17301.109375
60480,-5019.146484375
61152,-184.3267059326172
61824,-163.43533325195312
62496,-152.2226104736328
63168,-97.86003875732422
63840,-270.3766174316406
64512,-1488.630859375
65184,-94.369384765625
65856,-15899.6201171875
66528,-125.53385925292969
67200,-265.9435729980469
67872,-89.59947204589844
68544,-3814.794677734375
69216,-18535.134765625
69888,-632.1749267578125
70560,-171.79287719726562
71232,-382.364990234375
71904,-2314.529541015625
72576,-2774.38623046875
73248,-409.48602294921875
73920,-734.0093994140625
74592,-1423.9443359375
75264,-1760.5908203125
75936,-14487.8271484375
76608,-24457.39453125
77280,-415.8401794433594
77952,-2813.53125
78624,-344.09307861328125
79296,-1053.00830078125
79968,-124.2846450805664
80640,-908.6328125
81312,-7950.36865234375
81984,-23557.8515625
82656,-914.3201904296875
83328,-5995.76123046875
84000,-4710.89013671875
84672,-283.3851318359375
85344,-2491.823486328125
86016,-2253.154296875
86688,-968.3028564453125
87360,-5193.4609375
88032,-146.4275665283203
88704,-112.07172393798828
89376,-953.3936157226562
90048,-54531.125
90720,-503.59423828125
91392,-11139.240234375
92064,-871.645263671875
92736,-633.2100219726562
93408,-91.18561553955078
94080,-213.57192993164062
94752,-492.3612976074219
95424,-1422.5087890625
96096,-102.54763793945312
96768,-79.5272216796875
97440,-556.7752685546875
98112,-787.8755493164062
98784,-671.2527465820312
99456,-79.98222351074219
100128,-208.65283203125
100800,-111.08009338378906
101472,-12142.17578125
102144,-200.73822021484375
102816,-93.11759948730469
103488,-636.5382690429688
104160,-6364.16015625
104832,-109.35253143310547
105504,-11429.501953125
106176,-93.51805877685547
106848,-71.02871704101562
107520,-66.80928802490234
108192,-128.6178436279297
108864,-73.40998077392578
109536,-92.35617065429688
110208,-84.57402801513672
110880,-20858.486328125
111552,-293.4035339355469
112224,-206.13519287109375
112896,-584.0885009765625
113568,-3261.7265625
114240,-11696.0732421875
114912,-348.59259033203125
115584,-190.14649963378906
116256,-169.55152893066406
116928,-1000.09326171875
117600,-95.1275634765625
118272,-121.59563446044922
118944,-1561.396484375
119616,-916.4274291992188
120288,-372.7547302246094
120960,-515.583251953125
121632,-92.72918701171875
122304,-748.864501953125
122976,-15178.896484375
123648,-131.6813201904297
124320,-2666.875244140625
124992,-1303.78955078125
125664,-313.9222106933594
126336,-114.5544204711914
127008,-91.13156127929688
127680,-207.35682678222656
128352,-1841.8394775390625
129024,-48613.65625
129696,-350.8260192871094
130368,-149.9639129638672
131040,-149.32144165039062
131712,-35134.6015625
132384,-256.3746337890625
133056,-385.8507385253906
133728,-11116.9052734375
134400,-767.5449829101562
135072,-470.89495849609375
135744,-668.0555419921875
136416,-32082.421875
137088,-7557.880859375
137760,-543.0802612304688
138432,-408.5357360839844
139104,-2184.41796875
139776,-1934.73583984375
140448,-204.46446228027344
141120,-4981.90087890625
141792,-40026.04296875
142464,-484.88714599609375
143136,-5153.10107421875
143808,-6338.63134765625
144480,-69448.890625
145152,-947.88427734375
145824,-688.6282958984375
146496,-7982.4208984375
147168,-2139.955078125
147840,-131.63543701171875
148512,-9544.646484375
149184,-557.7428588867188
149856,-727.2456665039062
150528,-1645.5294189453125
151200,-90.88655090332031
151872,-220.4013214111328
152544,-1250.9759521484375
153216,-583.5084228515625
153888,-155.69119262695312
154560,-411.3092041015625
155232,-728.6697387695312
155904,-227.7438201904297
156576,-558.8941040039062
157248,-431.17572021484375
157920,-326.1046447753906
158592,-14401.1083984375
159264,-602.913818359375
159936,-79084.3125
160608,-1264.5201416015625
161280,-2092.37646484375
161952,-1154.11328125
162624,-605.0278930664062
163296,-41760.4765625
163968,-362.6717834472656
164640,-189.43104553222656
165312,-642.6459350585938
165984,-275.7857971191406
166656,-3907.93896484375
167328,-730.0880126953125
168000,-29961.33203125
168672,-232.3696746826172
169344,-113.9284439086914
170016,-1380.6116943359375
170688,-1030.1907958984375
171360,-9817.5166015625
172032,-40.52742385864258
172704,-931.2311401367188
173376,-3982.06005859375
174048,-269.4898681640625
174720,-154.6896514892578
175392,-81.26819610595703
176064,-329.79656982421875
176736,-252.29119873046875
177408,-79.24422454833984
178080,-1265.0750732421875
178752,-212.91580200195312
179424,-76.08560180664062
180096,-22904.138671875
180768,-164.83079528808594
181440,-329.7391357421875
182112,-316.1768798828125
182784,-97.38704681396484
183456,-70.99031829833984
184128,-12610.3466796875
184800,-1772.9530029296875
185472,-9821.70703125
186144,-183.7115020751953
186816,-375.86248779296875
187488,-262.04931640625
188160,-155.76539611816406
188832,-91400.7265625
189504,-299.5810241699219
190176,-502.8367919921875
190848,-1244.2156982421875
191520,-1387.75244140625
192192,-5664.09375
192864,-459.6230773925781
193536,-12845.3974609375
194208,-540.1338500976562
194880,-1478.3089599609375
195552,-1087.935791015625
196224,-1430.546142578125
196896,-198.35299682617188
197568,-1160.9915771484375
198240,-225.4612579345703
198912,-304.7123107910156
199584,-14176.12890625
200256,-870.9963989257812
200928,-1767.614990234375
201600,-1484.07275390625
202272,-630.3866577148438
202944,-530.2651977539062
203616,-10946.375
204288,-95.51811218261719
204960,-816.8933715820312
205632,-4239.6083984375
206304,-419.2064208984375
206976,-97.66683197021484
207648,-236.19798278808594
208320,-99176.390625
208992,-169.34109497070312
209664,-14215.005859375
210336,-3487.742919921875
211008,-336.8134460449219
211680,-293.16961669921875
212352,-93.97055053710938
213024,-1012.6163330078125
213696,-238.71575927734375
214368,-677.3416748046875
215040,-1518.70849609375
215712,-74.2247543334961
216384,-350.5439758300781
217056,-139.8789520263672
217728,-117.65731048583984
218400,-139.2608642578125
219072,-129.2191162109375
219744,-239.6182403564453
220416,-126.03977966308594
221088,-4331.890625
221760,-139.2975311279297
222432,-1347.921142578125
223104,-19151.208984375
223776,-543.929931640625
224448,-1615.060302734375
225120,-161.04469299316406
225792,-4447.5126953125
226464,-304.315185546875
227136,-317.133544921875
227808,-504.31719970703125
228480,-70.54911041259766
229152,-507.7334289550781
229824,-130.6282501220703
230496,-255.31813049316406
231168,-402.4998779296875
231840,-261.6917419433594
232512,-823.6876831054688
233184,-108.69761657714844
233856,-97.6549301147461
234528,-708.5872802734375
235200,-109.02503967285156
235872,-87.48448181152344
236544,-1283.326416015625
237216,-1750.475830078125
237888,-190.02345275878906
238560,-330.042236328125
239232,-250.13392639160156
239904,-98785.1875
240576,-25762.216796875
241248,-38095.0078125
241920,-662.47119140625
242592,-1186.6475830078125
243264,-383.9714050292969
243936,-5003.73095703125
244608,-1454.51904296875
245280,-51.00741195678711
245952,-2498.066162109375
246624,-449.46112060546875
247296,-7599.177734375
247968,-476.1539611816406
248640,-1811.1810302734375
249312,-422.6146240234375
249984,-80.25057983398438
250656,-10644.771484375
251328,-11273.361328125
252000,-433.8265686035156
252672,-290.7289123535156
253344,-68.52587890625
254016,-119.47380065917969
254688,-126.92637634277344
255360,-305.3190002441406
256032,-253.15728759765625
256704,-98.69639587402344
257376,-343.14605712890625
258048,-222.30941772460938
258720,-332.3994445800781
259392,-122.03250122070312
260064,-64.37126159667969
260736,-7060.228515625
261408,-37566.59375
262080,-611.231201171875
262752,-129.03688049316406
263424,-2761.361572265625
264096,-1959.7093505859375
264768,-87.51588439941406
265440,-10800.810546875
266112,-1206.37744140625
266784,-67.30683135986328
267456,-144.8140869140625
268128,-1812.043212890625
268800,-384.5337829589844
269472,-517.65966796875
270144,-438.46044921875
270816,-8115.2783203125
271488,-11107.298828125
272160,-799.7362670898438
272832,-5056.1474609375
273504,-42949.14453125
