steps,episode_reward
672,-198.04754638671875
1344,-190.12278747558594
2016,-10644.7275390625
2688,-2019.3441162109375
3360,-1545.3685302734375
4032,-8818.779296875
4704,-496.2265930175781
5376,-472.69354248046875
6048,-11065.9931640625
6720,-916.4640502929688
7392,-1197.4066162109375
8064,-12976.3740234375
8736,-3461.013671875
9408,-2658.866455078125
10080,-4843.32666015625
10752,-1975.8736572265625
11424,-892.7556762695312
12096,-384.85833740234375
12768,-9098.48046875
13440,-2737.71337890625
14112,-1341.4759521484375
14784,-624.3047485351562
15456,-82.840087890625
16128,-1859.0592041015625
16800,-361.263916015625
17472,-1853.7088623046875
18144,-814.343505859375
18816,-218.37185668945312
19488,-1330.1158447265625
20160,-2092.1435546875
20832,-627.1680297851562
21504,-90.85936737060547
22176,-9379.455078125
22848,-618.985107421875
23520,-1670.296630859375
24192,-305.5351257324219
24864,-76.25865173339844
25536,-824.7428588867188
26208,-927.5260620117188
26880,-552.5816040039062
27552,-1555.1964111328125
28224,-82.85680389404297
28896,-854.45361328125
29568,-343.63299560546875
30240,-1166.6124267578125
30912,-6554.6943359375
31584,-1145.9171142578125
32256,-78.42071533203125
32928,-383.6616516113281
33600,-688.135009765625
34272,-834.4442749023438
34944,-5077.9072265625
35616,-98.25371551513672
36288,-11314.2919921875
36960,-140.57276916503906
37632,-9915.3916015625
38304,-484.9037170410156
38976,-131.5110626220703
39648,-1103.188232421875
40320,-15541.1103515625
40992,-413.17877197265625
41664,-1931.3427734375
42336,-11611.1923828125
43008,-8255.015625
43680,-9122.7919921875
44352,-334.3949890136719
45024,-49.12067413330078
45696,-221.8452606201172
46368,-5104.48486328125
47040,-76.6634750366211
47712,-123.55270385742188
48384,-117.00202941894531
49056,-220.61123657226562
49728,-80.75119018554688
50400,-414.955078125
51072,-562.162353515625
51744,-685.1727294921875
52416,-773.029541015625
53088,-816.80126953125
53760,-1043.7099609375
54432,-682.9841918945312
55104,-574.0702514648438
55776,-224.44496154785156
56448,-94.19428253173828
57120,-113.78621673583984
57792,-61.84209060668945
58464,-2172.0107421875
59136,-278.3213195800781
59808,-4560.0517578125
60480,-5018.14599609375
61152,-280.4305725097656
61824,-475.0090637207031
62496,-85.73760223388672
63168,-104.11299133300781
63840,-67.42259216308594
64512,-140.39369201660156
65184,-299.42633056640625
65856,-137.84051513671875
66528,-90.30094146728516
67200,-86.61151885986328
67872,-96.04454040527344
68544,-282.5455322265625
69216,-5974.68994140625
69888,-87.73194122314453
70560,-63.68925857543945
71232,-438.2853698730469
71904,-1495.537109375
72576,-411.4252624511719
73248,-74.17315673828125
