steps,episode_reward
672,-24223.0859375
1344,-28822.576171875
2016,-202906.484375
2688,-117081.5234375
3360,-5432.6982421875
4032,-95223.8828125
4704,-21793.099609375
5376,-13306.806640625
6048,-112265.140625
6720,-10499.1240234375
7392,-6409.3115234375
8064,-132119.9375
8736,-8101.42822265625
9408,-761.8056640625
10080,-12214.4765625
10752,-8244.4423828125
11424,-8624.7900390625
12096,-2924.044189453125
12768,-41438.55859375
13440,-1939.72998046875
14112,-5241.8349609375
14784,-2128.391357421875
15456,-706.3702392578125
16128,-8956.6640625
16800,-2089.518798828125
17472,-686.7890014648438
18144,-1195.9351806640625
18816,-1604.1702880859375
19488,-2451.171875
20160,-11708.78125
20832,-4485.529296875
21504,-3396.745361328125
22176,-31764.228515625
22848,-8639.7509765625
23520,-51105.64453125
24192,-1628.1640625
24864,-3053.883056640625
25536,-3536.376708984375
26208,-1683.9405517578125
26880,-2100.08203125
27552,-4684.46923828125
28224,-5496.43017578125
28896,-1195.7027587890625
29568,-7469.58349609375
30240,-3085.724609375
30912,-170433.46875
31584,-7773.71923828125
32256,-3394.46240234375
32928,-4201.03955078125
33600,-3523.419189453125
34272,-2522.77392578125
34944,-17722.302734375
35616,-5724.6298828125
36288,-7723.587890625
36960,-1560.57666015625
37632,-43306.71484375
38304,-9389.0068359375
38976,-6082.32763671875
39648,-1102.9827880859375
40320,-166392.03125
40992,-12169.251953125
41664,-3356.280517578125
42336,-49533.8515625
43008,-62785.02734375
43680,-32193.076171875
44352,-2069.663818359375
45024,-1885.7235107421875
45696,-4159.65869140625
46368,-81423.0234375
47040,-4138.802734375
47712,-5829.06787109375
48384,-15347.5654296875
49056,-954.4039306640625
49728,-5662.40673828125
50400,-3019.794921875
51072,-13593.4912109375
51744,-3257.428955078125
52416,-2221.434814453125
53088,-1550.457275390625
53760,-4474.33740234375
54432,-2156.281982421875
55104,-4378.2978515625
55776,-5787.60693359375
56448,-9106.357421875
57120,-3266.710205078125
57792,-3129.84033203125
58464,-2758.531005859375
59136,-2838.9453125
59808,-1761.6773681640625
60480,-5019.1005859375
61152,-14430.7578125
61824,-4187.9033203125
62496,-7112.79443359375
63168,-11917.3134765625
63840,-3118.41943359375
64512,-1353.439208984375
65184,-13604.4638671875
65856,-5940.61083984375
66528,-5241.14111328125
67200,-12601.7958984375
67872,-10235.9775390625
68544,-1915.54833984375
69216,-121828.6796875
69888,-12636.748046875
70560,-3499.33349609375
71232,-17708.66796875
71904,-4864.03857421875
72576,-3368.102294921875
73248,-7108.68359375
73920,-5238.548828125
74592,-19918.76953125
75264,-3687.479248046875
75936,-4005.817626953125
76608,-118.85765838623047
77280,-4295.01318359375
77952,-810.78759765625
78624,-9346.3740234375
79296,-2934.039306640625
79968,-12153.9423828125
80640,-1023.2216186523438
81312,-31817.08984375
81984,-45593.4140625
82656,-8060.916015625
83328,-19305.658203125
84000,-14284.9541015625
84672,-4443.63134765625
85344,-14671.572265625
86016,-555.4320678710938
86688,-13650.185546875
87360,-4768.880859375
88032,-10785.9423828125
88704,-13998.751953125
89376,-2604.0087890625
90048,-104870.8671875
90720,-12224.5791015625
91392,-48841.72265625
92064,-11992.1162109375
92736,-8242.0751953125
93408,-8976.79296875
94080,-13025.931640625
94752,-3370.077880859375
95424,-5620.37841796875
96096,-9609.6015625
96768,-12452.154296875
97440,-5989.96826171875
98112,-5966.57861328125
98784,-13515.5078125
99456,-8431.083984375
100128,-6697.31689453125
100800,-11937.6396484375
101472,-1416.135498046875
102144,-8208.3671875
102816,-11878.2080078125
103488,-4788.23046875
104160,-7944.0673828125
104832,-12159.662109375
105504,-4144.5400390625
106176,-14571.0595703125
106848,-9337.3720703125
107520,-9458.79296875
108192,-15008.6220703125
108864,-8842.8330078125
109536,-9603.779296875
110208,-5490.27294921875
110880,-29763.837890625
111552,-4297.10595703125
112224,-5782.775390625
112896,-5283.22412109375
113568,-11018.171875
114240,-11705.037109375
114912,-9068.1279296875
115584,-8518.3447265625
116256,-12880.859375
116928,-5565.85302734375
117600,-8218.8818359375
118272,-9118.609375
118944,-5466.283203125
119616,-1623.7703857421875
120288,-215.73509216308594
120960,-1656.0362548828125
121632,-9916.90234375
122304,-4383.88916015625
122976,-40766.265625
123648,-8080.32275390625
124320,-32299.912109375
124992,-4524.55712890625
125664,-7832.5634765625
126336,-8179.359375
127008,-5534.3076171875
127680,-11983.501953125
128352,-4675.10009765625
129024,-187632.40625
129696,-13108.095703125
130368,-9859.0751953125
131040,-13593.9130859375
131712,-189652.578125
132384,-6664.6279296875
133056,-5242.11669921875
133728,-145214.109375
134400,-10681.669921875
135072,-7046.861328125
135744,-5813.083984375
136416,-59185.99609375
137088,-101794.65625
137760,-13436.3798828125
138432,-2544.865966796875
139104,-1851.9110107421875
139776,-628.3372802734375
140448,-14172.740234375
141120,-6351.66845703125
141179,-4.070099830627441
141851,-11932.3505859375
142523,-2854.25537109375
143195,-17675.291015625
143867,-6059.6884765625
144539,-11082.208984375
145211,-5410.9580078125
145883,-7655.85205078125
146555,-6154.38427734375
147227,-12813.3798828125
147899,-5429.98876953125
148571,-2605.891845703125
149243,-4724.9794921875
149915,-135662.0
150587,-4684.25146484375
151259,-7188.9306640625
151931,-2075.043212890625
152603,-11491.48046875
153275,-28664.083984375
153947,-1573.433349609375
154619,-4772.94189453125
155291,-2800.2314453125
155963,-4539.78271484375
156635,-8242.8681640625
157307,-51643.859375
157979,-102171.3984375
158651,-7691.748046875
159323,-2031.8665771484375
159995,-6356.31396484375
160667,-5990.0458984375
161339,-7897.0537109375
162011,-6215.4013671875
162683,-6005.2412109375
163355,-35824.671875
164027,-1038.72021484375
164699,-15867.35546875
165371,-11695.9951171875
166043,-9141.1884765625
166715,-7890.40087890625
167387,-6769.01513671875
168059,-5144.09521484375
168731,-2532.857421875
169403,-10623.1943359375
170075,-5506.21875
170747,-4292.146484375
171419,-15990.171875
172091,-63039.55859375
172763,-6013.041015625
173435,-15404.693359375
174107,-4820.62255859375
174779,-74844.2109375
175451,-8832.8349609375
176123,-4423.83935546875
176795,-6927.2783203125
177467,-9936.615234375
178139,-13203.287109375
178811,-5920.724609375
179483,-811.8843994140625
180155,-16245.982421875
180827,-7565.689453125
181499,-8415.4208984375
182171,-77591.59375
182843,-6100.68505859375
183515,-19026.59375
184187,-4028.783447265625
184859,-8853.2880859375
185531,-21357.9453125
186203,-3502.33154296875
186875,-2680.790283203125
187547,-10725.1474609375
188219,-7759.18310546875
188891,-5512.189453125
189563,-14912.2705078125
190235,-17684.283203125
190907,-14642.94921875
191579,-10127.37109375
192251,-10794.52734375
192923,-10787.7900390625
193595,-7645.91455078125
194267,-18476.490234375
194939,-6731.17138671875
195611,-15598.634765625
196283,-6844.828125
196955,-17672.16796875
197627,-4117.3017578125
198299,-12496.7802734375
198971,-18548.681640625
199643,-17411.431640625
200315,-552.5546875
200987,-680.8871459960938
201659,-6944.3974609375
202331,-7167.3544921875
203003,-56788.0546875
203675,-6974.8115234375
204347,-17630.16015625
205019,-963.8517456054688
205691,-86441.546875
206363,-12681.7607421875
207035,-172.65443420410156
207707,-10125.4951171875
208379,-11929.912109375
209051,-10455.4814453125
209723,-7709.55419921875
210395,-19042.859375
211067,-47722.5859375
211739,-6254.07958984375
212411,-3213.7568359375
213083,-7018.2236328125
213755,-28703.53515625
214427,-14637.9453125
215099,-13594.697265625
215771,-8633.3818359375
216443,-13050.16015625
217115,-18536.330078125
217787,-13311.87890625
218459,-12942.767578125
219131,-3076.50341796875
219803,-13324.8486328125
220475,-9574.1806640625
221147,-4550.3505859375
221819,-6920.65771484375
222491,-7558.06787109375
223163,-2996.434326171875
223835,-21860.373046875
224507,-1452.0908203125
225179,-7254.005859375
225851,-18900.560546875
226523,-17028.921875
227195,-9747.3935546875
227867,-81500.0
228539,-1197.8927001953125
229211,-11729.49609375
229883,-9335.88671875
230555,-17016.263671875
231227,-17899.220703125
231899,-11109.80859375
232571,-122.04545593261719
233243,-12764.876953125
233915,-5985.541015625
234587,-4622.998046875
235259,-24687.896484375
235931,-17448.0078125
236603,-7396.3349609375
237275,-7020.65478515625
237947,-16079.7626953125
238619,-753.0022583007812
239291,-7252.31884765625
239963,-2905.35595703125
240635,-9239.853515625
241307,-284.67938232421875
241979,-12675.71484375
242651,-16911.125
243323,-14126.6044921875
243995,-165.32708740234375
244667,-7423.95703125
245339,-15179.4501953125
246011,-1230.061279296875
246683,-7997.36572265625
247355,-25127.4453125
248027,-10336.83984375
248699,-19609.796875
249371,-2094.169677734375
250043,-273.56756591796875
250715,-6701.6875
251387,-18310.263671875
252059,-1317.927734375
252731,-9620.5146484375
253403,-153819.421875
254075,-14528.90625
254747,-114271.703125
255419,-1801.3927001953125
256091,-8174.9033203125
256763,-10086.283203125
257435,-12119.046875
258107,-2026.62060546875
258779,-383.44549560546875
259451,-11116.5107421875
260123,-11925.775390625
260795,-5908.43603515625
261467,-10085.3076171875
262139,-17013.765625
262811,-4404.20556640625
263483,-443.6146240234375
264155,-7484.68359375
264827,-11746.65625
265499,-12147.3154296875
266171,-8040.9775390625
266843,-3371.332275390625
267515,-13020.521484375
268187,-8024.4892578125
268859,-2385.185791015625
269531,-2984.296630859375
270203,-13652.708984375
270875,-2775.7646484375
271547,-12489.3681640625
272219,-8290.8125
272891,-13283.1337890625
273563,-5238.48876953125
274235,-13228.779296875
274907,-8255.1591796875
275579,-13454.9140625
276251,-13959.74609375
276923,-12681.5615234375
277595,-14823.4970703125
278267,-7708.46240234375
278939,-13605.712890625
279611,-11932.6494140625
280283,-54680.71875
280955,-13921.12890625
281627,-11648.4716796875
282299,-43352.640625
282971,-80995.2890625
283643,-8324.3740234375
284315,-16022.4248046875
284987,-949.1415405273438
285659,-8642.6103515625
286331,-19688.435546875
287003,-13879.06640625
287675,-43117.8984375
288347,-4706.26806640625
289019,-47651.39453125
289691,-8687.5224609375
290363,-883.373779296875
291035,-11912.5517578125
291707,-15949.0419921875
292379,-11066.5830078125
293051,-10270.7490234375
293723,-8499.4990234375
294395,-4005.369873046875
295067,-839.8828735351562
295739,-12462.04296875
296411,-16580.642578125
297083,-329.1186218261719
297755,-18402.005859375
298427,-12317.21875
299099,-827.5076904296875
299771,-17358.576171875
