steps,episode_reward
768,-7672.2919921875
1440,-24798.1015625
2112,-51907.375
2784,-31273.01171875
3456,-1846.6141357421875
4128,-68858.9609375
4800,-39065.65625
5472,-89094.3359375
6144,-53622.921875
6816,-37556.1328125
7488,-8049.0771484375
8160,-49192.6875
8832,-5722.6298828125
9504,-17966.826171875
10176,-26469.943359375
10848,-49259.91015625
11520,-67838.390625
12192,-19733.28125
12864,-57563.67578125
13536,-53803.06640625
14208,-686.2695922851562
14880,-3786.200927734375
15552,-44421.80078125
16224,-44174.703125
16896,-17755.318359375
17568,-23105.158203125
18240,-52974.10546875
18912,-977.44091796875
19584,-53742.5859375
20256,-51289.15625
20928,-21822.2734375
21600,-71268.890625
22272,-58422.6328125
22944,-68416.6328125
23616,-60705.21484375
24288,-7608.21630859375
24960,-25994.107421875
25632,-21190.658203125
26304,-6028.99560546875
26976,-5480.78662109375
27648,-17552.3203125
28320,-7157.1728515625
28992,-33000.55859375
29664,-35314.80859375
30336,-76071.8359375
31008,-41005.66796875
31680,-30845.896484375
32352,-3232.410400390625
33024,-18834.34765625
33696,-5461.51220703125
34368,-56158.63671875
35040,-7298.64501953125
35712,-69506.9921875
36384,-64033.52734375
37056,-99535.9765625
37728,-113663.0546875
38400,-64890.5703125
39072,-113732.4296875
39744,-15268.9970703125
40416,-81823.203125
41088,-51295.828125
41760,-9351.4189453125
42432,-32722.54296875
43104,-37578.03515625
43776,-127623.0703125
44448,-60385.625
45120,-56869.953125
45792,-43667.69921875
46464,-40798.86328125
47136,-4004.5986328125
47808,-85623.40625
48480,-23805.5078125
49152,-77475.1953125
49824,-43298.51171875
50496,-6659.818359375
51168,-50689.51171875
51840,-8976.5810546875
52512,-794.2304077148438
53184,-114347.21875
53856,-17436.51171875
54528,-3619.072998046875
55200,-3861.416748046875
55872,-69909.0078125
56544,-13562.7978515625
57216,-39460.22265625
57888,-21090.796875
58560,-19218.29296875
59232,-69373.3828125
59904,-48141.1015625
60576,-17489.236328125
61248,-3157.0224609375
61920,-3115.05810546875
62592,-4291.62060546875
63264,-75228.7890625
63936,-26301.072265625
64608,-3705.671142578125
65280,-3043.65625
65952,-3847.22265625
66624,-51167.9765625
67296,-5849.75927734375
67968,-1873.5302734375
68640,-8818.1240234375
69312,-99671.5390625
69984,-5679.48095703125
70656,-13350.75
71328,-233.1805877685547
72000,-515.7650146484375
72672,-8942.87890625
73344,-124506.2890625
74016,-142356.203125
74688,-1049.1766357421875
75360,-73355.21875
76032,-36243.46875
76704,-49146.4140625
77376,-10617.98828125
78048,-27687.375
78720,-62057.8984375
79392,-22241.478515625
80064,-39932.65625
80736,-12085.3974609375
81408,-22881.69140625
82080,-37010.484375
82752,-34040.27734375
83424,-7677.9736328125
84096,-10131.1298828125
84768,-14018.365234375
85440,-22011.9921875
86112,-41425.0546875
86784,-3823.365478515625
87456,-18278.61328125
88128,-65425.67578125
88800,-24724.982421875
89472,-22559.798828125
90144,-1618.6463623046875
90816,-23233.162109375
91488,-3129.51904296875
92160,-14947.859375
92832,-14425.9248046875
93504,-16583.990234375
94176,-30771.0390625
94848,-47631.9453125
95520,-18765.984375
96192,-44387.6875
96864,-92897.6171875
97536,-17608.7578125
98208,-6413.42822265625
98880,-8689.1806640625
99552,-26912.849609375
100224,-37243.0703125
100896,-9655.271484375
101568,-13896.021484375
102240,-27444.80859375
102912,-92536.0859375
103584,-31076.642578125
104256,-16459.33984375
104928,-2349.406982421875
105600,-8404.1015625
106272,-100996.3125
106944,-111733.9921875
107616,-65718.078125
108288,-5836.23486328125
108960,-1410.041748046875
109632,-393.0693359375
110304,-1438.2264404296875
110976,-10365.974609375
111648,-21399.7109375
112320,-9498.4609375
112992,-4542.28515625
113664,-61034.7890625
114336,-74014.1171875
115008,-149225.03125
115680,-35261.3984375
116352,-220407.59375
117024,-173676.53125
117696,-44845.2109375
118368,-163448.8125
119040,-27489.400390625
119712,-23019.880859375
120384,-3737.063720703125
121056,-16864.88671875
121728,-39963.765625
122400,-21373.849609375
123072,-14084.029296875
123744,-33630.14453125
124416,-40684.296875
125088,-41526.15625
125760,-40295.70703125
126432,-11242.73828125
127104,-1011.9774780273438
127776,-38761.2578125
128448,-35124.2578125
129120,-40804.18359375
129792,-94368.265625
130464,-27967.025390625
131136,-145971.25
131808,-62780.8984375
132480,-23678.619140625
133152,-18352.69140625
133824,-28639.216796875
134496,-4897.1669921875
135168,-27986.458984375
135840,-119034.734375
136512,-7627.53466796875
137184,-13048.056640625
137856,-2222.52587890625
138528,-20040.826171875
139200,-24398.83984375
139872,-59068.12890625
140544,-112463.1796875
141216,-73716.265625
141888,-163338.40625
142560,-17459.73828125
143232,-159049.015625
143904,-34886.6328125
144576,-25774.693359375
145248,-90652.0546875
145920,-123569.0703125
146592,-29303.62890625
147264,-135934.140625
147936,-52990.5625
148608,-13308.0078125
149280,-26774.935546875
149952,-9017.6240234375
150624,-5884.541015625
151296,-24141.42578125
151968,-4455.11474609375
152640,-107944.421875
153312,-33539.578125
153984,-5363.44482421875
154656,-21770.5234375
155328,-538.3729858398438
156000,-97471.96875
156672,-52493.9609375
157344,-6302.1513671875
158016,-1817.3258056640625
158688,-147585.34375
159360,-6262.6572265625
160032,-25142.025390625
160704,-41914.79296875
161376,-17796.123046875
162048,-223774.0
162720,-89707.4921875
163392,-101194.9609375
164064,-196469.078125
164736,-32356.4453125
165408,-27829.384765625
166080,-49778.328125
166752,-170021.6875
167424,-126.50013732910156
168096,-3217.158935546875
168768,-148773.203125
169440,-42225.25390625
170112,-10898.884765625
170784,-60331.0859375
171456,-134390.515625
172128,-81297.8828125
172800,-79890.6953125
173472,-41177.58984375
174144,-52210.37890625
174816,-40200.9140625
175488,-51615.03125
176160,-65622.65625
176832,-67457.0390625
177504,-298.3539733886719
178176,-19409.92578125
178848,-72245.859375
179520,-17908.134765625
180192,-55158.625
180864,-8902.974609375
181536,-24106.509765625
182208,-62817.49609375
182880,-73669.3046875
183552,-25588.912109375
184224,-49440.890625
184896,-8489.076171875
185568,-39521.4296875
186240,-36998.953125
186912,-15450.732421875
187584,-2122.5703125
188256,-344.8153381347656
188928,-46815.61328125
189600,-42388.171875
190272,-35585.34375
190944,-20948.439453125
191616,-5378.12353515625
192288,-50715.0546875
192960,-33203.49609375
193632,-13349.1904296875
194304,-116822.765625
194976,-11772.3896484375
195648,-133.8466033935547
196320,-1383.2021484375
196992,-21765.33984375
197664,-26233.0546875
198336,-50056.9921875
199008,-1037.7510986328125
199680,-60504.3125
200352,-17673.16796875
201024,-20802.615234375
201696,-39993.31640625
202368,-13284.8623046875
203040,-8195.5107421875
203712,-20475.125
204384,-44245.828125
205056,-6165.96923828125
205728,-25049.158203125
206400,-1993.8851318359375
207072,-63452.3359375
207744,-59691.796875
208416,-1509.70751953125
209088,-64944.28515625
209760,-10256.7060546875
210432,-50261.64453125
211104,-36734.42578125
211776,-27870.73828125
212448,-7353.35595703125
213120,-70431.109375
213792,-24142.509765625
214464,-3960.0185546875
215136,-13220.1630859375
215808,-106562.046875
216480,-22616.162109375
217152,-1622.07177734375
217824,-76536.1015625
218496,-17764.787109375
219168,-749.32470703125
219840,-42020.2890625
220512,-40090.1796875
221184,-41775.796875
221856,-9626.3681640625
222528,-35161.64453125
223200,-767.139404296875
223872,-12059.224609375
224544,-4275.30322265625
225216,-17300.796875
225888,-79024.8359375
226560,-2200.56396484375
227232,-43473.32421875
227904,-32658.51953125
228576,-9672.34765625
229248,-53517.74609375
229920,-16718.48046875
230592,-69001.40625
231264,-2910.55322265625
231936,-33975.79296875
232608,-18521.896484375
233280,-2632.85791015625
233952,-75456.8125
234624,-25322.740234375
235296,-7324.72607421875
235968,-12889.787109375
236640,-40426.359375
237312,-4512.38134765625
237984,-10277.7685546875
238656,-12155.3173828125
239328,-13136.0322265625
240000,-35986.4765625
240672,-41219.33984375
241344,-3480.38232421875
242016,-8598.9501953125
242688,-54227.25
243360,-6203.99169921875
244032,-29647.2890625
244704,-3110.74072265625
245376,-9740.0927734375
246048,-32159.490234375
246720,-122391.765625
247392,-30661.525390625
248064,-1261.271728515625
248736,-5105.1396484375
249408,-31264.5078125
250080,-32559.6875
250752,-4575.33935546875
251424,-7361.3017578125
252096,-7056.666015625
252768,-60695.5859375
253440,-23182.91015625
254112,-14471.0078125
254784,-8152.8837890625
255456,-1904.9603271484375
256128,-58462.578125
256800,-12177.96484375
257472,-52137.828125
258144,-10762.5185546875
258816,-33454.9921875
259488,-26786.37890625
260160,-47471.28125
260832,-11576.1611328125
261504,-59138.8125
262176,-25501.845703125
262848,-757.9096069335938
263520,-19969.5
264192,-5399.5595703125
264864,-13215.69921875
265536,-5807.0009765625
266208,-3824.98193359375
266880,-119565.9296875
267552,-14754.3583984375
268224,-27726.802734375
268896,-15654.4501953125
269568,-21064.619140625
270240,-21757.515625
270912,-25610.01953125
271584,-3527.073974609375
272256,-45257.95703125
272928,-1245.7474365234375
273600,-15079.40234375
274272,-1697.4698486328125
274944,-54509.83203125
275616,-123529.2265625
276288,-87117.203125
276960,-3465.20751953125
277632,-2214.525390625
278304,-9004.7451171875
278976,-45591.93359375
279648,-182431.15625
280320,-206931.21875
280992,-70123.484375
281664,-113695.7109375
282336,-175624.015625
283008,-200312.28125
283680,-213993.890625
284352,-154701.265625
285024,-21563.55078125
285696,-50314.70703125
286368,-91943.484375
287040,-113649.0859375
287712,-55640.05859375
288384,-132115.875
289056,-36813.48046875
289728,-33849.44921875
290400,-44629.21484375
291072,-5448.29150390625
291744,-28375.9609375
292416,-2552.04443359375
293088,-140.430908203125
293760,-14310.0546875
294432,-67112.0390625
295104,-45862.8046875
295776,-64650.0234375
296448,-11822.2734375
297120,-400.3422546386719
297792,-10169.7236328125
298464,-15995.7119140625
