steps,episode_reward
768,-3461.489013671875
1440,-6053.96826171875
2112,-8152.73974609375
2784,-8836.732421875
3456,-7958.1259765625
4128,-45684.19140625
4800,-29804.97265625
5472,-63081.69140625
6144,-41421.546875
6816,-30419.548828125
7488,-4737.5927734375
8160,-36288.29296875
8832,-5676.45947265625
9504,-2930.382568359375
10176,-4460.4892578125
10848,-41086.265625
11520,-30562.935546875
12192,-23272.77734375
12864,-45806.29296875
13536,-12589.0537109375
14208,-13729.998046875
14880,-16381.130859375
15552,-6408.14794921875
16224,-6587.40869140625
16896,-1044.025146484375
17568,-8998.4521484375
18240,-9005.396484375
18912,-9347.7734375
19584,-5752.19970703125
20256,-12197.4775390625
20928,-8067.32666015625
21600,-7584.513671875
22272,-2267.042236328125
22944,-5370.6767578125
23616,-770.2732543945312
24288,-9288.1083984375
24960,-32301.935546875
25632,-915.23388671875
26304,-4685.21630859375
26976,-3504.423095703125
27648,-15900.95703125
28320,-4934.5849609375
28992,-22193.736328125
29664,-24699.63671875
30336,-48289.57421875
31008,-31788.94921875
31680,-27544.55859375
32352,-1698.5587158203125
33024,-12156.6318359375
33696,-1442.6583251953125
34368,-36873.0625
35040,-9504.6416015625
35712,-22747.689453125
36384,-16946.85546875
37056,-46054.4453125
37728,-60818.28125
38400,-32851.125
39072,-46645.33203125
39744,-28211.40625
40416,-33820.234375
41088,-17829.96875
41760,-726.14892578125
42432,-16075.2353515625
43104,-17420.30078125
43776,-74727.171875
44448,-35545.984375
45120,-30221.26953125
45792,-17415.896484375
46464,-13499.7060546875
47136,-4004.984130859375
47808,-56987.515625
48480,-3354.940185546875
49152,-40116.796875
49824,-14830.125
50496,-6660.19873046875
51168,-11955.4970703125
51840,-8975.40625
52512,-9821.927734375
53184,-59722.234375
53856,-1177.541748046875
54528,-22656.814453125
55200,-16005.4443359375
55872,-17569.978515625
56544,-13562.98828125
57216,-241.8692169189453
57888,-6806.880859375
58560,-3340.10595703125
59232,-11738.04296875
59904,-1216.3326416015625
60576,-14522.9873046875
61248,-39868.5078125
61920,-32880.41015625
62592,-17924.68359375
63264,-241.68194580078125
63936,-19474.63671875
64608,-50311.57421875
65280,-72400.984375
65952,-78939.5546875
66624,-18000.6953125
